,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
3125,3126,7,21,1980,8,AB,,,
3145,3146,7,21,1980,24,AB,,,
3151,3152,7,21,1980,19,AB,,,
3152,3153,7,21,1980,22,AB,,,
3585,3586,12,15,1980,16,AB,,,
3701,3702,1,11,1981,22,AB,,,
3704,3705,1,11,1981,22,AB,,,
3705,3706,1,11,1981,20,AB,,,
3774,3775,1,12,1981,6,AB,,,
4498,4499,6,4,1981,23,AB,,,
4542,4543,6,4,1981,23,AB,,,
4605,4606,7,7,1981,19,AB,,,
5202,5203,1,24,1982,12,AB,,,
5203,5204,1,24,1982,12,AB,,,
5219,5220,1,24,1982,20,AB,,,
5221,5222,1,24,1982,24,AB,,,
5228,5229,1,24,1982,12,AB,,,
5243,5244,1,24,1982,19,AB,,,
5255,5256,1,24,1982,12,AB,,,
5266,5267,1,24,1982,7,AB,,,
5301,5302,1,25,1982,2,AB,,,
5309,5310,1,25,1982,2,AB,,,
5312,5313,1,25,1982,13,AB,,,
5386,5387,2,23,1982,13,AB,,,
5487,5488,2,24,1982,2,AB,,,
5495,5496,2,24,1982,2,AB,,,
5534,5535,3,29,1982,18,AB,,,
5642,5643,3,30,1982,9,AB,,,
5686,5687,4,28,1982,19,AB,,,
5740,5741,4,28,1982,20,AB,,,
5758,5759,4,28,1982,23,AB,,,
5783,5784,4,29,1982,16,AB,,,
5820,5821,4,29,1982,3,AB,,,
5898,5899,5,21,1982,23,AB,,,
6050,6051,6,28,1982,10,AB,,,
6369,6370,8,15,1982,6,AB,,,
6376,6377,8,15,1982,23,AB,,,
6397,6398,8,15,1982,23,AB,,,
6403,6404,8,15,1982,23,AB,,,
6406,6407,8,15,1982,23,AB,,,
6414,6415,8,15,1982,23,AB,,,
6530,6531,9,18,1982,9,AB,,,
6539,6540,9,18,1982,13,AB,,,
6544,6545,9,18,1982,13,AB,,,
6579,6580,9,18,1982,6,AB,,,
6723,6724,10,23,1982,8,AB,,,
7136,7137,1,12,1983,20,AB,,,
7137,7138,1,12,1983,20,AB,,,
7139,7140,1,12,1983,24,AB,,,
7142,7143,1,12,1983,20,AB,,,
7145,7146,1,12,1983,12,AB,,,
7149,7150,1,12,1983,20,AB,,,
7150,7151,1,12,1983,12,AB,,,
7170,7171,1,12,1983,20,AB,,,
7175,7176,1,12,1983,20,AB,,,
7179,7180,1,12,1983,20,AB,,,
7182,7183,1,12,1983,19,AB,,,
7187,7188,1,12,1983,20,AB,,,
7206,7207,1,12,1983,12,AB,,,
7302,7303,1,13,1983,2,AB,,,
7341,7342,2,26,1983,24,AB,,,
7345,7346,2,26,1983,24,AB,,,
7359,7360,2,26,1983,24,AB,,,
7376,7377,2,27,1983,13,AB,,,
7378,7379,2,27,1983,20,AB,,,
7396,7397,2,27,1983,20,AB,,,
7404,7405,2,27,1983,23,AB,,,
7435,7436,2,27,1983,23,AB,,,
7440,7441,2,27,1983,3,AB,,,
7464,7465,3,14,1983,13,AB,,,
7526,7527,3,14,1983,13,AB,,,
7546,7547,3,15,1983,9,AB,,,
7549,7550,3,15,1983,6,AB,,,
7593,7594,3,15,1983,2,AB,,,
7594,7595,3,15,1983,1,AB,,,
7596,7597,3,15,1983,6,AB,,,
7610,7611,3,15,1983,2,AB,,,
7613,7614,3,15,1983,2,AB,,,
7710,7711,4,16,1983,23,AB,,,
7910,7911,5,15,1983,10,AB,,,
8051,8052,6,18,1983,4,AB,,,
8055,8056,7,16,1983,24,AB,,,
8192,8193,8,15,1983,22,AB,,,
8288,8289,9,10,1983,20,AB,,,
8402,8403,9,11,1983,4,AB,,,
8696,8697,12,8,1983,20,AB,,,
8749,8750,12,9,1983,3,AB,,,
8881,8882,2,5,1984,8,AB,,,
9014,9015,4,9,1984,20,AB,,,
9247,9248,5,28,1984,7,AB,,,
9286,9287,7,3,1984,12,AB,,,
9369,9370,7,4,1984,3,AB,,,
9385,9386,7,31,1984,6,AB,,,
9388,9389,7,31,1984,23,AB,,,
9415,9416,8,1,1984,2,AB,,,
9483,9484,8,25,1984,6,AB,,,
9568,9569,9,30,1984,15,AB,,,
9601,9602,9,30,1984,5,AB,,,
9689,9690,10,21,1984,1,AB,,,
9827,9828,1,19,1985,14,AB,,,
9860,9861,1,20,1985,10,AB,,,
9894,9895,1,20,1985,9,AB,,,
9940,9941,2,16,1985,12,AB,,,
10473,10474,6,15,1985,22,AB,,,
10608,10609,7,24,1985,10,AB,,,
10764,10765,9,21,1985,19,AB,,,
10962,10963,11,16,1985,12,AB,,,
10969,10970,11,16,1985,12,AB,,,
10974,10975,11,16,1985,24,AB,,,
11094,11095,12,7,1985,12,AB,,,
11129,11130,12,7,1985,17,AB,,,
11199,11200,12,8,1985,7,AB,,,
11221,11222,12,8,1985,7,AB,,,
11300,11301,3,9,1986,13,AB,,,
11341,11342,4,12,1986,6,AB,,,
11448,11449,5,10,1986,6,AB,,,
11486,11487,5,10,1986,14,AB,,,
12080,12081,12,14,1986,16,AB,,,
12210,12211,1,31,1987,23,AB,,,
12245,12246,2,1,1987,2,AB,,,
12253,12254,2,1,1987,13,AB,,,
12259,12260,2,1,1987,15,AB,,,
12292,12293,2,1,1987,7,AB,,,
12344,12345,3,1,1987,20,AB,,,
12353,12354,3,1,1987,12,AB,,,
12367,12368,3,1,1987,12,AB,,,
12373,12374,3,1,1987,20,AB,,,
12381,12382,3,1,1987,23,AB,,,
12386,12387,3,1,1987,14,AB,,,
12404,12405,3,2,1987,3,AB,,,
12417,12418,3,2,1987,7,AB,,,
12443,12444,3,2,1987,7,AB,,,
12509,12510,4,4,1987,20,AB,,,
12524,12525,4,4,1987,16,AB,,,
12536,12537,4,6,1987,9,AB,,,
12541,12542,4,6,1987,15,AB,,,
12574,12575,4,6,1987,15,AB,,,
12593,12594,4,6,1987,15,AB,,,
12599,12600,4,6,1987,15,AB,,,
12668,12669,4,25,1987,24,AB,,,
12767,12768,5,28,1987,16,AB,,,
12793,12794,5,28,1987,24,AB,,,
12883,12884,5,28,1987,8,AB,,,
13320,13321,8,26,1987,2,AB,,,
13327,13328,8,26,1987,3,AB,,,
13441,13442,9,27,1987,7,AB,,,
13635,13636,10,25,1987,13,AB,,,
13658,13659,11,21,1987,6,AB,,,
13683,13684,11,21,1987,12,AB,,,
13774,13775,11,22,1987,7,AB,,,
13789,13790,11,22,1987,7,AB,,,
13828,13829,11,22,1987,13,AB,,,
13831,13832,11,22,1987,15,AB,,,
13855,13856,1,23,1988,21,AB,,,
13896,13897,1,23,1988,24,AB,,,
13900,13901,1,23,1988,17,AB,,,
13922,13923,1,24,1988,13,AB,,,
13978,13979,1,24,1988,13,AB,,,
14007,14008,2,21,1988,12,AB,,,
14009,14010,2,21,1988,24,AB,,,
14015,14016,2,21,1988,21,AB,,,
14016,14017,2,21,1988,19,AB,,,
14033,14034,2,21,1988,23,AB,,,
14038,14039,2,21,1988,22,AB,,,
14053,14054,2,21,1988,23,AB,,,
14054,14055,2,21,1988,23,AB,,,
14059,14060,2,21,1988,12,AB,,,
14071,14072,2,21,1988,23,AB,,,
14072,14073,2,21,1988,1,AB,,,
14076,14077,2,21,1988,12,AB,,,
14077,14078,2,21,1988,1,AB,,,
14082,14083,2,21,1988,12,AB,,,
14086,14087,2,21,1988,1,AB,,,
14089,14090,2,21,1988,6,AB,,,
14105,14106,2,22,1988,14,AB,,,
14121,14122,2,22,1988,3,AB,,,
14155,14156,2,22,1988,10,AB,,,
14157,14158,2,22,1988,2,AB,,,
14181,14182,2,22,1988,9,AB,,,
14195,14196,3,20,1988,24,AB,,,
14212,14213,3,20,1988,12,AB,,,
14222,14223,3,20,1988,18,AB,,,
14223,14224,3,20,1988,19,AB,,,
14232,14233,3,20,1988,18,AB,,,
14277,14278,3,21,1988,8,AB,,,
14297,14298,3,21,1988,3,AB,,,
15029,15030,11,5,1988,20,AB,,,
15228,15229,12,14,1988,13,AB,,,
15246,15247,12,14,1988,13,AB,,,
15262,15263,12,14,1988,15,AB,,,
15275,15276,12,14,1988,13,AB,,,
15276,15277,12,14,1988,15,AB,,,
15311,15312,1,10,1989,12,AB,,,
15313,15314,1,10,1989,6,AB,,,
15314,15315,1,10,1989,24,AB,,,
15340,15341,1,10,1989,22,AB,,,
15352,15353,1,10,1989,16,AB,,,
15355,15356,1,10,1989,17,AB,,,
15385,15386,1,11,1989,14,AB,,,
15425,15426,1,11,1989,8,AB,,,
15428,15429,1,11,1989,14,AB,,,
15431,15432,1,11,1989,7,AB,,,
15460,15461,1,11,1989,13,AB,,,
15474,15475,1,11,1989,7,AB,,,
15487,15488,2,4,1989,20,AB,,,
15737,15738,3,13,1989,21,AB,,,
15766,15767,3,13,1989,18,AB,,,
15802,15803,3,14,1989,9,AB,,,
16524,16525,10,7,1989,18,AB,,,
16556,16557,10,8,1989,12,AB,,,
16565,16566,10,8,1989,7,AB,,,
16610,16611,11,4,1989,21,AB,,,
16617,16618,11,4,1989,21,AB,,,
16690,16691,11,5,1989,11,AB,,,
16731,16732,12,4,1989,19,AB,,,
16738,16739,12,4,1989,23,AB,,,
16758,16759,12,4,1989,6,AB,,,
16768,16769,12,4,1989,7,AB,,,
16770,16771,12,4,1989,18,AB,,,
16771,16772,12,4,1989,12,AB,,,
16776,16777,12,4,1989,7,AB,,,
16807,16808,12,5,1989,10,AB,,,
16845,16846,12,5,1989,3,AB,,,
16891,16892,1,6,1990,21,AB,,,
16924,16925,1,6,1990,6,AB,,,
16966,16967,1,7,1990,3,AB,,,
16980,16981,1,7,1990,2,AB,,,
16981,16982,1,7,1990,5,AB,,,
16986,16987,1,29,1990,6,AB,,,
16991,16992,1,29,1990,6,AB,,,
16992,16993,1,29,1990,20,AB,,,
16999,17000,1,29,1990,18,AB,,,
17005,17006,1,29,1990,20,AB,,,
17006,17007,1,29,1990,21,AB,,,
17011,17012,1,29,1990,21,AB,,,
17017,17018,1,29,1990,20,AB,,,
17021,17022,1,29,1990,12,AB,,,
17027,17028,1,29,1990,19,AB,,,
17036,17037,1,29,1990,23,AB,,,
17039,17040,1,29,1990,6,AB,,,
17040,17041,1,29,1990,23,AB,,,
17047,17048,1,29,1990,23,AB,,,
17048,17049,1,29,1990,22,AB,,,
17049,17050,1,30,1990,13,AB,,,
17068,17069,1,30,1990,16,AB,,,
17091,17092,1,30,1990,15,AB,,,
17105,17106,1,30,1990,16,AB,,,
17355,17356,3,30,1990,15,AB,,,
17846,17847,9,25,1990,13,AB,,,
17975,17976,11,10,1990,24,AB,,,
18377,18378,2,16,1991,22,AB,,,
18493,18494,3,14,1991,9,AB,,,
18498,18499,3,14,1991,9,AB,,,
18688,18689,5,14,1991,4,AB,,,
18731,18732,5,14,1991,16,AB,,,
19095,19096,10,10,1991,24,AB,,,
19212,19213,11,13,1991,12,AB,,,
19217,19218,11,13,1991,18,AB,,,
19359,19360,11,15,1991,13,AB,,,
19364,19365,11,15,1991,13,AB,,,
19398,19399,12,7,1991,20,AB,,,
19409,19410,12,7,1991,20,AB,,,
19412,19413,12,7,1991,7,AB,,,
19429,19430,12,7,1991,20,AB,,,
19461,19462,12,8,1991,13,AB,,,
19668,19669,2,6,1992,7,AB,,,
19725,19726,2,7,1992,11,AB,,,
19876,19877,4,4,1992,20,AB,,,
19890,19891,4,4,1992,7,AB,,,
19981,19982,5,3,1992,13,AB,,,
20025,20026,5,30,1992,7,AB,,,
20434,20435,10,18,1992,7,AB,,,
20532,20533,12,21,1992,7,AB,,,
20534,20535,12,21,1992,12,AB,,,
20544,20545,12,21,1992,12,AB,,,
20663,20664,2,26,1993,13,AB,,,
21102,21103,9,16,1993,20,AB,,,
21159,21160,10,15,1993,2,AB,,,
21269,21270,12,14,1993,22,AB,,,
21272,21273,12,14,1993,20,AB,,,
21276,21277,12,14,1993,22,AB,,,
21286,21287,12,14,1993,23,AB,,,
21291,21292,12,14,1993,20,AB,,,
21292,21293,12,14,1993,23,AB,,,
21331,21332,2,1,1994,1,AB,,,
21357,21358,2,2,1994,20,AB,,,
21369,21370,2,3,1994,14,AB,,,
21433,21434,3,11,1994,7,AB,,,
21696,21697,7,9,1994,14,AB,,,
21945,21946,12,4,1994,22,AB,,,
21964,21965,12,4,1994,19,AB,,,
22040,22041,2,4,1995,20,AB,,,
22044,22045,2,4,1995,23,AB,,,
22063,22064,2,4,1995,20,AB,,,
22110,22111,3,4,1995,7,AB,,,
28841,28842,11,21,1998,20,AB,,,
28958,28959,12,22,1998,20,AB,,,
30325,30326,2,5,2000,18,AB,,,
30417,30418,2,6,2000,15,AB,,,
30447,30448,3,4,2000,12,AB,,,
33076,33077,11,17,2001,20,AB,,,
33323,33324,1,12,2002,1,AB,,,
33712,33713,3,14,2002,13,AB,,,
