,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
1445,1446,11,5,1978,15,AH,,,
7019,7020,11,21,1982,24,AH,,,
7644,7645,4,16,1983,24,AH,,,
8640,8641,11,13,1983,15,AH,,,
9494,9495,8,26,1984,9,AH,,,
9582,9583,9,30,1984,15,AH,,,
9861,9862,1,20,1985,13,AH,,,
9881,9882,1,20,1985,15,AH,,,
9890,9891,1,20,1985,1,AH,,,
9938,9939,2,16,1985,20,AH,,,
10152,10153,4,20,1985,24,AH,,,
10449,10450,6,15,1985,19,AH,,,
10497,10498,6,16,1985,3,AH,,,
10508,10509,6,16,1985,15,AH,,,
10693,10694,8,20,1985,15,AH,,,
11039,11040,11,17,1985,15,AH,,,
11100,11101,12,7,1985,14,AH,,,
11156,11157,12,8,1985,2,AH,,,
11212,11213,12,8,1985,13,AH,,,
11220,11221,12,8,1985,13,AH,,,
11388,11389,4,13,1986,15,AH,,,
11506,11507,5,11,1986,15,AH,,,
11525,11526,5,11,1986,13,AH,,,
11605,11606,6,5,1986,15,AH,,,
11620,11621,6,5,1986,13,AH,,,
11625,11626,6,5,1986,13,AH,,,
11631,11632,6,5,1986,13,AH,,,
11648,11649,7,3,1986,12,AH,,,
11717,11718,7,4,1986,13,AH,,,
11734,11735,8,9,1986,16,AH,,,
11764,11765,8,9,1986,16,AH,,,
11765,11766,8,9,1986,20,AH,,,
11788,11789,8,10,1986,15,AH,,,
11800,11801,8,10,1986,13,AH,,,
11832,11833,9,6,1986,23,AH,,,
11848,11849,9,7,1986,7,AH,,,
11870,11871,9,7,1986,15,AH,,,
12027,12028,11,16,1986,15,AH,,,
12104,12105,12,14,1986,12,AH,,,
12260,12261,2,1,1987,15,AH,,,
12269,12270,2,1,1987,1,AH,,,
12271,12272,2,1,1987,1,AH,,,
12276,12277,2,1,1987,1,AH,,,
12277,12278,2,1,1987,15,AH,,,
12436,12437,3,2,1987,15,AH,,,
12506,12507,4,4,1987,18,AH,,,
12592,12593,4,6,1987,1,AH,,,
12666,12667,4,25,1987,20,AH,,,
12680,12681,4,26,1987,9,AH,,,
12765,12766,5,28,1987,7,AH,,,
12808,12809,5,28,1987,15,AH,,,
12822,12823,5,28,1987,23,AH,,,
12823,12824,5,28,1987,20,AH,,,
12828,12829,5,28,1987,15,AH,,,
12831,12832,5,28,1987,15,AH,,,
12833,12834,5,28,1987,15,AH,,,
12841,12842,5,28,1987,20,AH,,,
12868,12869,5,28,1987,23,AH,,,
12873,12874,5,28,1987,7,AH,,,
12874,12875,5,28,1987,23,AH,,,
12876,12877,5,28,1987,20,AH,,,
12880,12881,5,28,1987,22,AH,,,
12887,12888,6,30,1987,20,AH,,,
12937,12938,6,30,1987,20,AH,,,
12955,12956,6,30,1987,23,AH,,,
12969,12970,7,1,1987,8,AH,,,
13143,13144,7,26,1987,15,AH,,,
13196,13197,8,25,1987,18,AH,,,
13265,13266,8,26,1987,13,AH,,,
13337,13338,8,26,1987,15,AH,,,
13349,13350,9,26,1987,18,AH,,,
13359,13360,9,26,1987,18,AH,,,
13372,13373,9,26,1987,12,AH,,,
13400,13401,9,26,1987,24,AH,,,
13437,13438,9,27,1987,15,AH,,,
13439,13440,9,27,1987,15,AH,,,
13443,13444,9,27,1987,15,AH,,,
13619,13620,10,25,1987,13,AH,,,
13755,13756,11,22,1987,15,AH,,,
13825,13826,11,22,1987,10,AH,,,
13885,13886,1,23,1988,17,AH,,,
13897,13898,1,23,1988,17,AH,,,
13916,13917,1,24,1988,2,AH,,,
13927,13928,1,24,1988,2,AH,,,
14014,14015,2,21,1988,18,AH,,,
14021,14022,2,21,1988,24,AH,,,
14068,14069,2,21,1988,23,AH,,,
14100,14101,2,22,1988,2,AH,,,
14196,14197,3,20,1988,18,AH,,,
14250,14251,3,20,1988,23,AH,,,
14282,14283,3,21,1988,13,AH,,,
14368,14369,4,18,1988,13,AH,,,
14381,14382,4,18,1988,17,AH,,,
14457,14458,5,14,1988,18,AH,,,
14511,14512,5,15,1988,15,AH,,,
14527,14528,5,15,1988,2,AH,,,
14528,14529,5,15,1988,13,AH,,,
14591,14592,6,12,1988,2,AH,,,
14773,14774,8,9,1988,21,AH,,,
14839,14840,8,10,1988,13,AH,,,
14950,14951,10,8,1988,21,AH,,,
14964,14965,10,8,1988,12,AH,,,
15002,15003,10,9,1988,15,AH,,,
15050,15051,11,5,1988,21,AH,,,
15196,15197,12,13,1988,20,AH,,,
15244,15245,12,14,1988,13,AH,,,
15330,15331,1,10,1989,20,AH,,,
15418,15419,1,11,1989,2,AH,,,
15473,15474,1,11,1989,13,AH,,,
15506,15507,2,4,1989,12,AH,,,
15507,15508,2,4,1989,12,AH,,,
15509,15510,2,4,1989,12,AH,,,
15587,15588,2,5,1989,7,AH,,,
15623,15624,2,5,1989,15,AH,,,
15783,15784,3,13,1989,13,AH,,,
15949,15950,4,2,1989,20,AH,,,
15973,15974,5,9,1989,24,AH,,,
16097,16098,6,3,1989,18,AH,,,
16120,16121,6,3,1989,18,AH,,,
