,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
16597,16598,11,4,1989,21,BA,M,13.0,7.0
16598,16599,11,4,1989,21,BA,M,12.0,6.0
16853,16854,12,5,1989,3,BA,M,14.0,8.0
16950,16951,1,7,1990,5,BA,F,13.0,9.0
17173,17174,2,25,1990,5,BA,M,14.0,7.0
17189,17190,2,25,1990,5,BA,F,14.0,7.0
17373,17374,4,24,1990,1,BA,M,14.0,7.0
17485,17486,4,26,1990,3,BA,M,14.0,7.0
17565,17566,5,25,1990,3,BA,F,14.0,10.0
17615,17616,6,22,1990,3,BA,F,14.0,8.0
17772,17773,8,17,1990,3,BA,F,15.0,9.0
17934,17935,10,16,1990,3,BA,F,13.0,8.0
18084,18085,12,15,1990,19,BA,F,14.0,8.0
18131,18132,12,16,1990,3,BA,F,13.0,8.0
18251,18252,1,12,1991,3,BA,F,14.0,9.0
18322,18323,2,16,1991,19,BA,F,14.0,18.0
18508,18509,3,14,1991,3,BA,F,14.0,8.0
18573,18574,4,19,1991,19,BA,F,12.0,12.0
18603,18604,4,21,1991,3,BA,F,13.0,10.0
18665,18666,5,13,1991,19,BA,F,12.0,7.0
18686,18687,5,14,1991,3,BA,F,11.0,8.0
18767,18768,6,13,1991,18,BA,F,12.0,9.0
18777,18778,6,14,1991,3,BA,F,12.0,9.0
18827,18828,7,12,1991,19,BA,F,14.0,11.0
18854,18855,7,13,1991,3,BA,F,14.0,13.0
18934,18935,8,7,1991,18,BA,F,14.0,10.0
19014,19015,9,9,1991,19,BA,F,7.0,11.0
19108,19109,10,10,1991,20,BA,F,13.0,6.0
19120,19121,10,10,1991,2,BA,M,13.0,6.0
19143,19144,10,11,1991,3,BA,,,
19219,19220,11,13,1991,19,BA,F,14.0,10.0
19248,19249,11,13,1991,19,BA,M,12.0,8.0
19255,19256,11,14,1991,3,BA,F,16.0,9.0
19259,19260,11,14,1991,21,BA,M,14.0,7.0
19273,19274,11,14,1991,3,BA,F,12.0,8.0
19379,19380,12,7,1991,19,BA,F,13.0,9.0
19408,19409,12,7,1991,19,BA,M,12.0,9.0
19473,19474,12,8,1991,5,BA,F,13.0,8.0
19498,19499,12,8,1991,3,BA,M,13.0,8.0
19513,19514,12,8,1991,3,BA,M,14.0,8.0
19542,19543,1,8,1992,19,BA,F,13.0,9.0
19566,19567,1,8,1992,19,BA,M,6.0,8.0
19583,19584,1,8,1992,19,BA,F,13.0,7.0
19697,19698,2,7,1992,3,BA,M,12.0,7.0
19754,19755,3,7,1992,19,BA,F,14.0,7.0
19774,19775,3,7,1992,19,BA,F,14.0,9.0
