,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
3188,3189,8,13,1980,23,CB,,,
4706,4707,7,30,1981,15,CB,,,
8013,8014,6,18,1983,15,CB,,,
8432,8433,10,15,1983,15,CB,,,
8441,8442,10,15,1983,13,CB,,,
9503,9504,8,26,1984,13,CB,,,
10465,10466,6,15,1985,22,CB,,,
11744,11745,8,9,1986,16,CB,,,
11846,11847,9,7,1986,13,CB,,,
11853,11854,9,7,1986,13,CB,,,
11881,11882,9,7,1986,13,CB,,,
12286,12287,2,1,1987,8,CB,,,
13149,13150,7,26,1987,11,CB,,,
13457,13458,9,27,1987,7,CB,,,
13470,13471,9,27,1987,7,CB,,,
13602,13603,10,25,1987,13,CB,,,
13969,13970,1,24,1988,13,CB,,,
14680,14681,7,14,1988,20,CB,,,
14844,14845,8,10,1988,14,CB,,,
14884,14885,9,12,1988,13,CB,,,
14892,14893,9,12,1988,13,CB,,,
15251,15252,12,14,1988,14,CB,,,
16000,16001,5,9,1989,23,CB,,,
18958,18959,8,8,1991,13,CB,,,
18997,18998,8,8,1991,5,CB,,,
20182,20183,7,30,1992,7,CB,,,
20219,20220,7,31,1992,6,CB,,,
20330,20331,9,26,1992,20,CB,,,
20359,20360,9,26,1992,20,CB,,,
20392,20393,9,27,1992,16,CB,,,
20404,20405,9,27,1992,16,CB,,,
20418,20419,9,27,1992,9,CB,,,
21139,21140,9,17,1993,13,CB,,,
21142,21143,9,17,1993,14,CB,,,
21144,21145,9,17,1993,13,CB,,,
21187,21188,10,16,1993,8,CB,,,
21252,21253,11,14,1993,15,CB,,,
21961,21962,12,4,1994,21,CB,,,
22235,22236,4,29,1995,17,CB,,,
22419,22420,6,28,1995,13,CB,,,
26154,26155,6,11,1997,14,CB,,,
26716,26717,7,30,1997,4,CB,,,
26748,26749,7,30,1997,13,CB,,,
28159,28160,6,28,1998,14,CB,,,
28249,28250,7,19,1998,10,CB,,,
28734,28735,10,25,1998,3,CB,,,
28969,28970,12,22,1998,7,CB,,,
32058,32059,5,26,2001,22,CB,,,
32784,32785,9,23,2001,14,CB,,,
33108,33109,11,17,2001,23,CB,,,
