,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
3199,3200,8,13,1980,19,CQ,,,
3335,3336,10,11,1980,20,CQ,,,
3699,3700,1,11,1981,23,CQ,,,
3716,3717,1,11,1981,23,CQ,,,
3721,3722,1,11,1981,23,CQ,,,
4742,4743,7,31,1981,20,CQ,,,
6098,6099,6,29,1982,23,CQ,,,
6184,6185,7,25,1982,5,CQ,,,
6212,6213,7,25,1982,5,CQ,,,
6359,6360,8,15,1982,20,CQ,,,
6365,6366,8,15,1982,16,CQ,,,
6367,6368,8,15,1982,16,CQ,,,
6381,6382,8,15,1982,22,CQ,,,
6408,6409,8,15,1982,20,CQ,,,
9324,9325,7,4,1984,2,CQ,,,
9363,9364,7,4,1984,3,CQ,,,
