,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
67,68,8,19,1977,8,DO,F,32.0,52.0
291,292,10,17,1977,3,DO,F,36.0,33.0
293,294,10,17,1977,3,DO,F,37.0,50.0
316,317,10,17,1977,17,DO,F,32.0,48.0
322,323,10,17,1977,17,DO,F,33.0,31.0
336,337,10,18,1977,8,DO,F,35.0,41.0
355,356,11,12,1977,1,DO,F,32.0,44.0
377,378,11,12,1977,1,DO,M,33.0,48.0
413,414,11,14,1977,8,DO,F,34.0,39.0
427,428,12,10,1977,9,DO,F,33.0,40.0
449,450,12,10,1977,1,DO,M,33.0,45.0
466,467,12,11,1977,8,DO,F,32.0,41.0
514,515,1,8,1978,9,DO,F,,42.0
717,718,3,13,1978,8,DO,M,35.0,57.0
794,795,4,9,1978,17,DO,F,33.0,55.0
907,908,5,18,1978,17,DO,M,33.0,18.0
918,919,5,19,1978,8,DO,M,35.0,54.0
925,926,5,19,1978,1,DO,M,35.0,37.0
949,950,6,8,1978,8,DO,F,34.0,55.0
960,961,6,8,1978,8,DO,M,36.0,55.0
976,977,6,8,1978,17,DO,M,34.0,23.0
1012,1013,6,9,1978,1,DO,M,35.0,38.0
1041,1042,7,7,1978,8,DO,M,35.0,51.0
1069,1070,7,7,1978,17,DO,M,35.0,33.0
1128,1129,8,4,1978,17,DO,M,35.0,38.0
1209,1210,9,3,1978,8,DO,M,35.0,54.0
1283,1284,9,4,1978,6,DO,M,33.0,45.0
1320,1321,10,7,1978,8,DO,M,36.0,50.0
1326,1327,10,7,1978,11,DO,M,34.0,45.0
1408,1409,11,4,1978,8,DO,M,35.0,54.0
1417,1418,11,4,1978,8,DO,F,32.0,45.0
1423,1424,11,4,1978,17,DO,F,31.0,45.0
1499,1500,12,2,1978,8,DO,M,33.0,52.0
1505,1506,12,2,1978,17,DO,F,33.0,44.0
1559,1560,1,28,1979,11,DO,M,34.0,52.0
1622,1623,2,24,1979,9,DO,F,,61.0
1631,1632,2,24,1979,17,DO,F,34.0,48.0
1686,1687,3,31,1979,18,DO,F,32.0,29.0
1699,1700,3,31,1979,17,DO,F,35.0,49.0
1705,1706,3,31,1979,17,DO,F,34.0,50.0
1706,1707,3,31,1979,18,DO,M,35.0,54.0
1749,1750,4,28,1979,17,DO,F,34.0,51.0
1757,1758,4,29,1979,18,DO,F,36.0,48.0
1766,1767,4,29,1979,18,DO,F,35.0,
1808,1809,5,29,1979,12,DO,M,34.0,41.0
1810,1811,5,29,1979,17,DO,M,33.0,29.0
1825,1826,5,30,1979,18,DO,F,32.0,44.0
1829,1830,5,30,1979,18,DO,M,35.0,40.0
1868,1869,7,3,1979,17,DO,M,33.0,38.0
1898,1899,7,4,1979,18,DO,F,34.0,53.0
1931,1932,7,25,1979,18,DO,M,36.0,46.0
1937,1938,7,25,1979,18,DO,F,34.0,42.0
1940,1941,7,25,1979,17,DO,M,35.0,
1988,1989,8,22,1979,17,DO,M,34.0,45.0
1995,1996,8,22,1979,18,DO,F,33.0,45.0
2073,2074,10,24,1979,9,DO,M,33.0,26.0
2074,2075,10,24,1979,12,DO,M,35.0,52.0
2078,2079,10,24,1979,8,DO,M,36.0,50.0
2081,2082,10,24,1979,8,DO,F,33.0,47.0
