,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
10,11,7,16,1977,5,DS,F,53.0,
16,17,7,16,1977,3,DS,F,48.0,
19,20,7,17,1977,11,DS,F,48.0,
29,30,7,17,1977,10,DS,F,52.0,
41,42,7,18,1977,18,DS,F,46.0,
57,58,7,18,1977,12,DS,M,45.0,
72,73,8,19,1977,3,DS,F,44.0,
75,76,8,19,1977,9,DS,F,47.0,
79,80,8,19,1977,1,DS,M,48.0,
90,91,8,20,1977,11,DS,F,50.0,
99,100,8,20,1977,5,DS,F,54.0,
103,104,8,20,1977,11,DS,M,43.0,
109,110,8,20,1977,10,DS,,,
133,134,8,21,1977,17,DS,F,45.0,
143,144,8,21,1977,15,DS,M,40.0,
148,149,8,21,1977,20,DS,M,50.0,
152,153,8,21,1977,16,DS,F,50.0,
153,154,8,21,1977,20,DS,F,47.0,
154,155,8,21,1977,20,DS,,,
158,159,9,11,1977,5,DS,M,53.0,
164,165,9,11,1977,19,DS,F,50.0,
175,176,9,11,1977,12,DS,M,45.0,
181,182,9,11,1977,21,DS,M,49.0,
183,184,9,11,1977,20,DS,M,52.0,
187,188,9,12,1977,14,DS,F,48.0,
190,191,9,12,1977,17,DS,M,47.0,
194,195,9,12,1977,4,DS,M,50.0,
199,200,9,12,1977,17,DS,F,52.0,
200,201,9,12,1977,10,DS,M,47.0,
204,205,9,12,1977,16,DS,M,50.0,
205,206,9,12,1977,23,DS,F,52.0,
206,207,9,12,1977,16,DS,F,53.0,
210,211,9,12,1977,4,DS,F,48.0,
219,220,9,13,1977,2,DS,M,52.0,
221,222,9,13,1977,1,DS,M,52.0,
222,223,9,13,1977,8,DS,F,50.0,
230,231,9,13,1977,15,DS,,,
231,232,9,13,1977,9,DS,M,48.0,
235,236,9,13,1977,9,DS,F,47.0,
236,237,9,13,1977,9,DS,F,50.0,
238,239,9,13,1977,1,DS,M,48.0,
239,240,9,13,1977,9,DS,F,53.0,
240,241,9,13,1977,3,DS,,,
246,247,10,16,1977,2,DS,M,54.0,
249,250,10,16,1977,18,DS,F,51.0,
251,252,10,16,1977,6,DS,F,53.0,
263,264,10,16,1977,9,DS,F,49.0,
266,267,10,16,1977,22,DS,F,46.0,
270,271,10,16,1977,9,DS,F,50.0,
275,276,10,16,1977,1,DS,F,50.0,
