,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
2705,2706,3,9,1980,4,DX,,,
8172,8173,8,15,1983,22,DX,,,
11411,11412,4,13,1986,11,DX,,,
15218,15219,12,13,1988,12,DX,,,
18635,18636,4,21,1991,9,DX,,,
18663,18664,5,13,1991,2,DX,,,
18670,18671,5,13,1991,17,DX,,,
19238,19239,11,13,1991,2,DX,,,
19546,19547,1,8,1992,2,DX,,,
19603,19604,1,9,1992,8,DX,,,
19745,19746,2,8,1992,14,DX,,,
19830,19831,3,8,1992,8,DX,,,
19831,19832,3,8,1992,13,DX,,,
19914,19915,4,5,1992,13,DX,,,
20036,20037,5,30,1992,1,DX,,,
20220,20221,7,31,1992,14,DX,,,
20331,20332,9,26,1992,17,DX,,,
20376,20377,9,27,1992,9,DX,,,
20445,20446,10,18,1992,2,DX,,,
20521,20522,12,21,1992,17,DX,,,
20624,20625,1,25,1993,5,DX,,,
21034,21035,8,19,1993,12,DX,,,
21307,21308,12,15,1993,14,DX,,,
21419,21420,2,22,1994,9,DX,,,
21980,21981,12,5,1994,9,DX,,,
22276,22277,4,30,1995,4,DX,,,
23183,23184,12,22,1995,15,DX,,,
23191,23192,12,22,1995,16,DX,,,
23410,23411,2,25,1996,9,DX,,,
28578,28579,9,20,1998,4,DX,,,
28776,28777,10,25,1998,11,DX,,,
29787,29788,6,13,1999,11,DX,,,
29789,29790,6,13,1999,9,DX,,,
29893,29894,10,9,1999,21,DX,,,
30377,30378,2,6,2000,11,DX,,,
30448,30449,3,4,2000,12,DX,,,
30475,30476,3,4,2000,17,DX,,,
31065,31066,7,2,2000,14,DX,,,
33182,33183,11,18,2001,8,DX,,,
35510,35511,12,31,2002,11,DX,,,
