,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
0,1,7,16,1977,2,NL,M,32.0,
1,2,7,16,1977,3,NL,M,33.0,
21,22,7,17,1977,15,NL,F,31.0,
37,38,7,17,1977,17,NL,M,33.0,
71,72,8,19,1977,2,NL,M,31.0,
105,106,8,20,1977,12,NL,,,
106,107,8,20,1977,18,NL,,,
120,121,8,21,1977,15,NL,,,
170,171,9,11,1977,12,NL,,,
193,194,9,12,1977,11,NL,,,
213,214,9,12,1977,17,NL,,,
223,224,9,13,1977,2,NL,,,
265,266,10,16,1977,2,NL,,,
271,272,10,16,1977,18,NL,,,
280,281,10,16,1977,20,NL,,,
281,282,10,16,1977,22,NL,,,
296,297,10,17,1977,11,NL,,,
313,314,10,17,1977,14,NL,,,
343,344,10,18,1977,3,NL,,,
348,349,11,12,1977,2,NL,,,
352,353,11,12,1977,18,NL,,,
362,363,11,12,1977,2,NL,,,
389,390,11,13,1977,11,NL,,,
392,393,11,13,1977,14,NL,,,
405,406,11,14,1977,12,NL,,,
434,435,12,10,1977,2,NL,,,
464,465,12,11,1977,5,NL,,,
468,469,12,11,1977,12,NL,,,
474,475,12,11,1977,11,NL,,,
485,486,12,11,1977,14,NL,,,
494,495,12,11,1977,17,NL,,,
505,506,1,8,1978,2,NL,,,
508,509,1,8,1978,3,NL,,,
530,531,1,8,1978,20,NL,,,
545,546,1,9,1978,11,NL,,,
553,554,1,9,1978,14,NL,,,
564,565,1,10,1978,12,NL,,,
587,588,2,18,1978,2,NL,M,,218.0
628,629,2,19,1978,14,NL,,,197.0
645,646,2,20,1978,18,NL,M,32.0,228.0
654,655,3,11,1978,3,NL,M,32.0,232.0
660,661,3,11,1978,2,NL,,,
735,736,4,8,1978,6,NL,M,,
747,748,4,8,1978,2,NL,,,
754,755,4,8,1978,3,NL,F,32.0,
824,825,4,10,1978,18,NL,M,,225.0
844,845,5,6,1978,2,NL,M,32.0,204.0
847,848,5,6,1978,22,NL,M,32.0,212.0
868,869,5,17,1978,20,NL,F,33.0,174.0
874,875,5,17,1978,5,NL,F,33.0,212.0
885,886,5,18,1978,3,NL,F,,182.0
970,971,6,8,1978,17,NL,F,32.0,135.0
989,990,6,9,1978,2,NL,M,,200.0
1028,1029,6,9,1978,18,NL,M,32.0,232.0
1080,1081,7,8,1978,14,NL,M,33.0,113.0
