,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
273,274,10,16,1977,2,OL,F,20.0,21.0
276,277,10,16,1977,6,OL,,20.0,21.0
320,321,10,17,1977,17,OL,F,,23.0
350,351,11,12,1977,22,OL,,,
365,366,11,12,1977,2,OL,,,
385,386,11,13,1977,21,OL,,,
386,387,11,13,1977,21,OL,,,
399,400,11,13,1977,21,OL,,,
440,441,12,10,1977,2,OL,,,
444,445,12,10,1977,9,OL,,,
503,504,1,8,1978,3,OL,,,
512,513,1,8,1978,2,OL,,,
543,544,1,9,1978,14,OL,,,
625,626,2,19,1978,17,OL,F,20.0,35.0
665,666,3,11,1978,13,OL,M,21.0,38.0
700,701,3,12,1978,17,OL,,,
721,722,3,13,1978,16,OL,F,,30.0
739,740,4,8,1978,13,OL,M,,
767,768,4,8,1978,13,OL,,,
859,860,5,17,1978,14,OL,M,,
860,861,5,17,1978,21,OL,F,19.0,29.0
950,951,6,8,1978,17,OL,F,21.0,29.0
1025,1026,6,9,1978,13,OL,M,22.0,44.0
1067,1068,7,7,1978,17,OL,F,20.0,29.0
1116,1117,8,4,1978,20,OL,M,20.0,17.0
1141,1142,8,4,1978,21,OL,M,20.0,20.0
1173,1174,8,5,1978,13,OL,F,21.0,29.0
1174,1175,8,5,1978,16,OL,M,22.0,
1186,1187,8,5,1978,16,OL,F,,33.0
1189,1190,8,5,1978,13,OL,M,22.0,
1195,1196,9,3,1978,17,OL,F,21.0,33.0
1232,1233,9,3,1978,21,OL,M,21.0,24.0
1252,1253,9,4,1978,13,OL,M,21.0,36.0
1312,1313,10,7,1978,17,OL,M,20.0,30.0
1315,1316,10,7,1978,21,OL,M,20.0,30.0
1384,1385,10,8,1978,13,OL,F,20.0,24.0
1390,1391,10,8,1978,13,OL,M,20.0,34.0
1409,1410,11,4,1978,11,OL,M,20.0,33.0
1412,1413,11,4,1978,8,OL,F,20.0,28.0
1431,1432,11,4,1978,11,OL,F,20.0,28.0
1454,1455,11,5,1978,18,OL,M,20.0,37.0
1456,1457,11,5,1978,18,OL,M,20.0,26.0
1476,1477,12,2,1978,17,OL,F,21.0,28.0
1478,1479,12,2,1978,9,OL,M,21.0,34.0
1480,1481,12,2,1978,9,OL,F,21.0,29.0
1481,1482,12,2,1978,22,OL,M,20.0,28.0
1490,1491,12,2,1978,22,OL,M,21.0,33.0
1494,1495,12,2,1978,22,OL,F,21.0,32.0
1504,1505,12,2,1978,8,OL,F,21.0,30.0
1506,1507,12,2,1978,9,OL,M,21.0,44.0
1507,1508,12,2,1978,22,OL,M,20.0,27.0
1509,1510,12,2,1978,17,OL,M,21.0,
1515,1516,12,2,1978,17,OL,M,21.0,32.0
1531,1532,12,3,1978,13,OL,F,21.0,29.0
1542,1543,12,3,1978,2,OL,F,22.0,38.0
1543,1544,12,3,1978,2,OL,M,21.0,32.0
1545,1546,12,3,1978,6,OL,M,22.0,36.0
1560,1561,1,28,1979,22,OL,M,19.0,35.0
1562,1563,1,28,1979,1,OL,M,19.0,46.0
1565,1566,1,28,1979,11,OL,M,21.0,35.0
1572,1573,1,29,1979,2,OL,F,19.0,31.0
1573,1574,1,29,1979,13,OL,M,,39.0
1596,1597,1,29,1979,2,OL,F,,39.0
1597,1598,1,29,1979,6,OL,F,,32.0
1616,1617,2,24,1979,22,OL,F,20.0,40.0
1617,1618,2,24,1979,9,OL,M,21.0,37.0
1621,1622,2,24,1979,8,OL,F,21.0,32.0
1625,1626,2,24,1979,11,OL,M,21.0,36.0
1645,1646,2,25,1979,2,OL,F,20.0,30.0
1661,1662,2,25,1979,16,OL,F,22.0,35.0
1663,1664,2,25,1979,16,OL,M,21.0,34.0
1668,1669,2,25,1979,13,OL,F,22.0,39.0
1879,1880,7,4,1979,3,OL,F,19.0,21.0
1941,1942,7,25,1979,8,OL,F,21.0,36.0
1949,1950,7,26,1979,3,OL,F,20.0,31.0
1951,1952,7,26,1979,3,OL,M,20.0,35.0
1961,1962,8,21,1979,13,OL,F,20.0,45.0
1967,1968,8,21,1979,14,OL,F,20.0,24.0
1968,1969,8,21,1979,14,OL,M,20.0,35.0
1979,1980,8,22,1979,11,OL,M,20.0,27.0
2015,2016,9,22,1979,10,OL,F,20.0,29.0
2040,2041,9,22,1979,9,OL,F,19.0,34.0
2043,2044,9,23,1979,3,OL,M,22.0,34.0
2044,2045,9,23,1979,3,OL,F,20.0,46.0
2051,2052,9,23,1979,13,OL,F,20.0,40.0
2066,2067,9,23,1979,14,OL,F,19.0,31.0
2088,2089,10,24,1979,10,OL,F,21.0,25.0
2102,2103,10,24,1979,19,OL,M,21.0,27.0
2111,2112,10,25,1979,3,OL,F,21.0,32.0
2113,2114,10,25,1979,3,OL,M,22.0,36.0
2154,2155,11,17,1979,18,OL,M,21.0,31.0
2162,2163,11,17,1979,2,OL,F,21.0,34.0
2168,2169,11,17,1979,18,OL,F,21.0,33.0
2172,2173,11,17,1979,18,OL,M,21.0,34.0
2177,2178,11,17,1979,2,OL,F,19.0,35.0
2182,2183,11,17,1979,2,OL,M,21.0,36.0
2186,2187,11,17,1979,1,OL,M,20.0,41.0
2208,2209,11,18,1979,11,OL,M,19.0,19.0
2211,2212,11,18,1979,12,OL,M,21.0,29.0
2225,2226,11,18,1979,17,OL,F,19.0,29.0
2227,2228,11,18,1979,18,OL,F,21.0,31.0
2244,2245,11,18,1979,8,OL,M,21.0,36.0
2252,2253,11,18,1979,8,OL,F,20.0,35.0
2280,2281,1,15,1980,11,OL,M,20.0,29.0
2282,2283,1,15,1980,11,OL,M,21.0,23.0
2283,2284,1,15,1980,9,OL,M,20.0,32.0
2284,2285,1,15,1980,10,OL,F,20.0,24.0
2290,2291,1,15,1980,9,OL,F,21.0,34.0
2294,2295,1,15,1980,9,OL,M,21.0,36.0
2303,2304,1,15,1980,20,OL,F,21.0,27.0
2308,2309,1,15,1980,10,OL,F,21.0,30.0
2313,2314,1,15,1980,17,OL,F,,32.0
2322,2323,1,15,1980,17,OL,M,22.0,31.0
2370,2371,1,16,1980,24,OL,F,21.0,26.0
2372,2373,1,16,1980,3,OL,M,22.0,36.0
2374,2375,1,16,1980,2,OL,M,21.0,36.0
2382,2383,1,16,1980,2,OL,F,21.0,38.0
2386,2387,1,16,1980,14,OL,,,
