,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
35,36,7,17,1977,16,OT,F,22.0,
247,248,10,16,1977,22,OT,M,,21.0
295,296,10,17,1977,17,OT,,18.0,21.0
298,299,10,17,1977,17,OT,M,19.0,
354,355,11,12,1977,2,OT,,,
430,431,12,10,1977,2,OT,,,
441,442,12,10,1977,9,OT,,,
445,446,12,10,1977,2,OT,,,
451,452,12,10,1977,2,OT,,,
470,471,12,11,1977,5,OT,,,
472,473,12,11,1977,21,OT,,,
477,478,12,11,1977,3,OT,,,
488,489,12,11,1977,11,OT,,,
493,494,12,11,1977,4,OT,,,
496,497,12,11,1977,5,OT,,,
499,500,12,11,1977,21,OT,,,
500,501,12,11,1977,21,OT,,,
533,534,1,8,1978,2,OT,,,
536,537,1,9,1978,14,OT,,,
546,547,1,9,1978,8,OT,,,
567,568,1,10,1978,21,OT,,,
569,570,1,10,1978,5,OT,,,
576,577,1,10,1978,21,OT,,,
583,584,2,18,1978,3,OT,M,,24.0
597,598,2,18,1978,2,OT,F,,24.0
598,599,2,18,1978,3,OT,F,15.0,23.0
602,603,2,18,1978,2,OT,M,,25.0
610,611,2,19,1978,21,OT,F,20.0,23.0
622,623,2,19,1978,21,OT,,,
629,630,2,19,1978,5,OT,F,18.0,22.0
630,631,2,19,1978,5,OT,M,20.0,25.0
657,658,3,11,1978,3,OT,F,21.0,22.0
658,659,3,11,1978,20,OT,F,20.0,21.0
662,663,3,11,1978,2,OT,M,18.0,25.0
667,668,3,11,1978,3,OT,M,21.0,26.0
669,670,3,11,1978,2,OT,F,20.0,25.0
681,682,3,12,1978,21,OT,,,
692,693,3,12,1978,21,OT,M,,
705,706,3,12,1978,17,OT,F,,
707,708,3,12,1978,5,OT,M,20.0,26.0
712,713,3,13,1978,8,OT,M,15.0,29.0
722,723,3,13,1978,8,OT,F,16.0,35.0
731,732,4,8,1978,2,OT,,19.0,
734,735,4,8,1978,6,OT,F,18.0,
745,746,4,8,1978,22,OT,M,20.0,
755,756,4,8,1978,21,OT,F,20.0,
776,777,4,9,1978,8,OT,M,20.0,27.0
783,784,4,9,1978,17,OT,M,,23.0
825,826,4,10,1978,16,OT,M,20.0,18.0
858,859,5,6,1978,21,OT,F,13.0,9.0
914,915,5,19,1978,13,OT,F,18.0,24.0
917,918,5,19,1978,2,OT,F,21.0,30.0
977,978,6,8,1978,21,OT,M,18.0,12.0
1008,1009,6,9,1978,3,OT,F,20.0,29.0
1026,1027,6,9,1978,13,OT,F,19.0,28.0
1066,1067,7,7,1978,12,OT,F,19.0,22.0
1113,1114,8,4,1978,21,OT,,,19.0
1143,1144,8,4,1978,19,OT,M,19.0,12.0
1221,1222,9,3,1978,11,OT,M,20.0,24.0
1234,1235,9,3,1978,11,OT,F,20.0,20.0
1236,1237,9,3,1978,17,OT,M,,
1255,1256,9,4,1978,3,OT,M,21.0,27.0
1285,1286,9,4,1978,3,OT,F,20.0,28.0
1287,1288,9,4,1978,1,OT,M,19.0,20.0
1310,1311,10,7,1978,9,OT,M,20.0,18.0
1353,1354,10,8,1978,5,OT,F,21.0,20.0
1354,1355,10,8,1978,5,OT,M,20.0,19.0
1380,1381,10,8,1978,5,OT,F,20.0,25.0
1389,1390,10,8,1978,5,OT,M,20.0,25.0
1404,1405,11,4,1978,11,OT,F,20.0,23.0
1419,1420,11,4,1978,19,OT,M,20.0,21.0
1420,1421,11,4,1978,12,OT,F,21.0,22.0
1435,1436,11,4,1978,8,OT,F,20.0,24.0
1442,1443,11,5,1978,5,OT,M,20.0,21.0
1461,1462,11,5,1978,4,OT,F,20.0,22.0
1471,1472,11,5,1978,2,OT,F,20.0,23.0
1472,1473,11,5,1978,4,OT,M,20.0,28.0
1492,1493,12,2,1978,11,OT,F,20.0,25.0
1532,1533,12,3,1978,3,OT,F,20.0,23.0
1540,1541,12,3,1978,2,OT,M,21.0,
1541,1542,12,3,1978,3,OT,M,20.0,28.0
1546,1547,12,3,1978,5,OT,F,22.0,26.0
1547,1548,12,3,1978,5,OT,M,20.0,21.0
1583,1584,1,29,1979,2,OT,M,,30.0
1584,1585,1,29,1979,3,OT,F,,27.0
1593,1594,1,29,1979,2,OT,M,,26.0
1604,1605,1,29,1979,16,OT,,,
1606,1607,1,29,1979,16,OT,,,
1644,1645,2,25,1979,3,OT,M,21.0,26.0
1649,1650,2,25,1979,3,OT,F,20.0,30.0
1754,1755,4,29,1979,4,OT,M,18.0,28.0
1761,1762,4,29,1979,15,OT,M,20.0,23.0
1818,1819,5,30,1979,15,OT,M,20.0,24.0
1821,1822,5,30,1979,15,OT,F,18.0,15.0
1853,1854,7,3,1979,21,OT,F,21.0,18.0
1854,1855,7,3,1979,21,OT,M,20.0,27.0
1907,1908,7,24,1979,13,OT,F,20.0,27.0
1923,1924,7,25,1979,2,OT,F,19.0,25.0
1929,1930,7,25,1979,14,OT,M,22.0,19.0
1942,1943,7,25,1979,17,OT,F,20.0,25.0
1960,1961,8,21,1979,13,OT,M,20.0,20.0
1963,1964,8,21,1979,21,OT,F,21.0,17.0
1980,1981,8,22,1979,17,OT,M,18.0,27.0
1985,1986,8,22,1979,12,OT,F,20.0,17.0
1996,1997,8,23,1979,3,OT,M,20.0,28.0
1997,1998,8,23,1979,9,OT,F,20.0,30.0
2002,2003,8,23,1979,2,OT,F,21.0,27.0
2010,2011,8,23,1979,2,OT,M,21.0,20.0
2011,2012,8,23,1979,5,OT,F,31.0,19.0
2014,2015,8,23,1979,5,OT,F,19.0,18.0
2020,2021,9,22,1979,22,OT,M,20.0,31.0
2023,2024,9,22,1979,12,OT,M,19.0,20.0
2027,2028,9,22,1979,20,OT,F,20.0,21.0
2030,2031,9,22,1979,11,OT,M,19.0,27.0
2037,2038,9,22,1979,22,OT,M,19.0,19.0
2047,2048,9,23,1979,13,OT,M,20.0,21.0
2049,2050,9,23,1979,2,OT,F,20.0,23.0
2053,2054,9,23,1979,2,OT,F,20.0,29.0
2056,2057,9,23,1979,5,OT,M,20.0,22.0
2057,2058,9,23,1979,1,OT,M,19.0,24.0
2065,2066,9,23,1979,5,OT,F,21.0,25.0
2068,2069,9,23,1979,18,OT,F,20.0,26.0
2095,2096,10,24,1979,11,OT,F,20.0,27.0
2099,2100,10,24,1979,9,OT,F,21.0,21.0
2103,2104,10,24,1979,9,OT,M,22.0,22.0
