,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
22710,22711,9,23,1995,1,PB,F,24.0,30.0
22867,22868,10,28,1995,1,PB,F,25.0,31.0
22869,22870,10,28,1995,1,PB,F,26.0,39.0
22947,22948,10,29,1995,6,PB,F,27.0,29.0
23006,23007,12,2,1995,1,PB,F,27.0,40.0
23124,23125,12,21,1995,1,PB,F,28.0,39.0
23131,23132,12,21,1995,1,PB,F,27.0,30.0
23225,23226,1,27,1996,1,PB,F,27.0,38.0
23231,23232,1,27,1996,1,PB,F,26.0,
23238,23239,1,27,1996,2,PB,M,29.0,46.0
23366,23367,2,24,1996,1,PB,F,26.0,42.0
23372,23373,2,24,1996,1,PB,F,26.0,31.0
23534,23535,3,23,1996,1,PB,M,30.0,49.0
24014,24015,6,13,1996,19,PB,F,25.0,26.0
24051,24052,6,13,1996,2,PB,M,26.0,26.0
24215,24216,7,20,1996,2,PB,F,26.0,24.0
24280,24281,8,14,1996,19,PB,F,23.0,23.0
24302,24303,8,14,1996,1,PB,F,26.0,32.0
24396,24397,9,21,1996,12,PB,M,26.0,31.0
24398,24399,9,21,1996,1,PB,F,26.0,32.0
24422,24423,9,21,1996,2,PB,M,26.0,36.0
24439,24440,9,21,1996,2,PB,F,25.0,24.0
24443,24444,9,21,1996,20,PB,M,26.0,25.0
24450,24451,9,21,1996,22,PB,M,28.0,40.0
24451,24452,9,21,1996,2,PB,M,25.0,32.0
24479,24480,9,22,1996,3,PB,F,27.0,26.0
24520,24521,9,22,1996,6,PB,F,26.0,29.0
24554,24555,10,12,1996,1,PB,F,26.0,34.0
24565,24566,10,12,1996,19,PB,M,27.0,26.0
24570,24571,10,12,1996,2,PB,M,27.0,37.0
24578,24579,10,12,1996,2,PB,M,26.0,26.0
24583,24584,10,12,1996,22,PB,M,27.0,35.0
24585,24586,10,12,1996,20,PB,M,27.0,31.0
24594,24595,10,12,1996,2,PB,M,28.0,38.0
24620,24621,10,13,1996,3,PB,F,27.0,30.0
24690,24691,11,16,1996,1,PB,F,26.0,34.0
24691,24692,11,16,1996,2,PB,M,28.0,30.0
24716,24717,11,16,1996,2,PB,M,25.0,27.0
24723,24724,11,17,1996,6,PB,F,27.0,29.0
24736,24737,11,17,1996,3,PB,F,27.0,33.0
24793,24794,12,18,1996,2,PB,M,27.0,34.0
24844,24845,12,18,1996,2,PB,F,24.0,26.0
24847,24848,12,18,1996,19,PB,F,26.0,28.0
24849,24850,12,18,1996,2,PB,M,27.0,44.0
24852,24853,12,18,1996,22,PB,M,26.0,45.0
24885,24886,12,19,1996,3,PB,F,27.0,39.0
24920,24921,2,8,1997,2,PB,M,22.0,32.0
24932,24933,2,8,1997,19,PB,F,27.0,30.0
24989,24990,2,8,1997,22,PB,M,28.0,42.0
24994,24995,2,8,1997,2,PB,M,28.0,37.0
24998,24999,2,8,1997,2,PB,F,27.0,38.0
25006,25007,2,8,1997,2,PB,M,26.0,43.0
25019,25020,2,8,1997,2,PB,M,27.0,39.0
25025,25026,2,9,1997,6,PB,F,27.0,34.0
25084,25085,2,9,1997,3,PB,F,27.0,35.0
25112,25113,2,9,1997,6,PB,M,26.0,36.0
25193,25194,3,15,1997,2,PB,M,27.0,38.0
25264,25265,3,15,1997,2,PB,M,25.0,40.0
25270,25271,3,15,1997,2,PB,,,
25278,25279,3,15,1997,22,PB,M,26.0,50.0
25292,25293,3,16,1997,6,PB,M,30.0,53.0
25308,25309,3,16,1997,3,PB,M,27.0,34.0
25334,25335,3,16,1997,3,PB,F,28.0,48.0
25379,25380,3,16,1997,6,PB,M,24.0,33.0
25446,25447,4,12,1997,12,PB,M,27.0,23.0
25488,25489,4,12,1997,1,PB,F,26.0,42.0
25489,25490,4,12,1997,2,PB,M,21.0,31.0
25512,25513,4,12,1997,19,PB,M,27.0,26.0
25561,25562,4,13,1997,6,PB,F,26.0,38.0
25629,25630,4,13,1997,13,PB,F,25.0,26.0
25696,25697,5,10,1997,21,PB,M,26.0,26.0
25699,25700,5,10,1997,1,PB,F,25.0,42.0
