,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
6,7,7,16,1977,2,PE,F,,
59,60,7,18,1977,19,PE,M,20.0,
192,193,9,12,1977,7,PE,,,
237,238,9,13,1977,2,PE,M,20.0,19.0
261,262,10,16,1977,20,PE,M,19.0,20.0
278,279,10,16,1977,2,PE,F,19.0,
516,517,1,8,1978,2,PE,M,26.0,22.0
603,604,2,18,1978,2,PE,M,22.0,25.0
670,671,3,11,1978,2,PE,M,20.0,28.0
672,673,3,11,1978,2,PE,F,,29.0
738,739,4,8,1978,13,PE,M,19.0,
741,742,4,8,1978,13,PE,M,18.0,
743,744,4,8,1978,20,PE,F,21.0,
1107,1108,8,4,1978,17,PE,M,20.0,19.0
1109,1110,8,4,1978,17,PE,F,19.0,14.0
1201,1202,9,3,1978,7,PE,F,30.0,24.0
1217,1218,9,3,1978,7,PE,M,21.0,19.0
1239,1240,9,3,1978,19,PE,F,20.0,13.0
1282,1283,9,4,1978,2,PE,F,20.0,20.0
1294,1295,9,4,1978,18,PE,F,18.0,16.0
1300,1301,9,4,1978,2,PE,M,20.0,17.0
1394,1395,10,8,1978,19,PE,,,18.0
1466,1467,11,5,1978,2,PE,M,20.0,22.0
1602,1603,1,29,1979,2,PE,M,,26.0
1674,1675,3,31,1979,17,PE,M,20.0,23.0
1745,1746,4,28,1979,20,PE,M,19.0,19.0
1759,1760,4,29,1979,13,PE,M,18.0,13.0
1872,1873,7,3,1979,23,PE,F,20.0,27.0
1906,1907,7,24,1979,19,PE,F,19.0,24.0
1920,1921,7,25,1979,17,PE,M,18.0,8.0
2017,2018,9,22,1979,23,PE,M,20.0,23.0
2035,2036,9,22,1979,21,PE,F,19.0,24.0
2091,2092,10,24,1979,19,PE,M,19.0,19.0
2098,2099,10,24,1979,23,PE,M,21.0,24.0
2115,2116,10,25,1979,24,PE,M,18.0,19.0
2139,2140,11,17,1979,3,PE,F,19.0,24.0
2147,2148,11,17,1979,3,PE,M,19.0,17.0
2189,2190,11,17,1979,6,PE,M,19.0,20.0
2262,2263,11,18,1979,23,PE,F,18.0,18.0
2266,2267,11,18,1979,19,PE,M,19.0,21.0
2317,2318,1,15,1980,19,PE,F,20.0,17.0
2434,2435,2,24,1980,19,PE,M,20.0,21.0
2438,2439,2,24,1980,23,PE,F,22.0,19.0
2456,2457,2,25,1980,2,PE,M,21.0,23.0
2529,2530,2,25,1980,2,PE,F,21.0,21.0
2571,2572,3,9,1980,1,PE,F,,24.0
2710,2711,3,9,1980,19,PE,F,,23.0
2733,2734,3,9,1980,19,PE,M,,21.0
2771,2772,3,21,1980,23,PE,M,,21.0
2775,2776,3,21,1980,19,PE,F,,21.0
2877,2878,4,18,1980,24,PE,M,,21.0
2920,2921,5,17,1980,24,PE,F,20.0,33.0
3048,3049,6,22,1980,24,PE,M,20.0,22.0
3070,3071,6,22,1980,19,PE,M,19.0,18.0
3126,3127,7,21,1980,24,PE,M,20.0,24.0
3127,3128,7,21,1980,24,PE,F,20.0,35.0
3285,3286,9,7,1980,19,PE,F,21.0,27.0
3362,3363,10,11,1980,20,PE,M,20.0,18.0
3408,3409,11,8,1980,24,PE,F,20.0,21.0
3681,3682,12,16,1980,17,PE,F,20.0,19.0
3686,3687,1,11,1981,20,PE,F,19.0,19.0
3763,3764,1,12,1981,10,PE,M,21.0,25.0
3812,3813,1,31,1981,24,PE,F,19.0,25.0
3816,3817,1,31,1981,20,PE,F,20.0,25.0
3818,3819,1,31,1981,20,PE,M,21.0,24.0
3985,3986,3,9,1981,3,PE,M,19.0,18.0
4041,4042,4,5,1981,17,PE,F,,30.0
4059,4060,4,5,1981,12,PE,M,,22.0
4131,4132,4,5,1981,17,PE,M,,26.0
4284,4285,4,6,1981,11,PE,M,,25.0
4323,4324,4,6,1981,24,PE,M,,22.0
4359,4360,5,3,1981,24,PE,M,20.0,21.0
4362,4363,5,3,1981,24,PE,F,20.0,18.0
4367,4368,5,3,1981,20,PE,M,19.0,18.0
4556,4557,6,5,1981,24,PE,F,20.0,23.0
4566,4567,6,5,1981,12,PE,M,21.0,21.0
4815,4816,9,29,1981,12,PE,M,21.0,14.0
4846,4847,9,30,1981,14,PE,M,19.0,16.0
4847,4848,9,30,1981,15,PE,M,20.0,16.0
4855,4856,10,1,1981,8,PE,M,22.0,20.0
4871,4872,10,24,1981,21,PE,M,20.0,19.0
4877,4878,10,24,1981,19,PE,M,21.0,20.0
4893,4894,10,24,1981,20,PE,F,21.0,24.0
4896,4897,10,24,1981,24,PE,M,21.0,17.0
4916,4917,10,25,1981,13,PE,M,20.0,19.0
4919,4920,10,25,1981,16,PE,,21.0,18.0
4958,4959,11,22,1981,24,PE,M,22.0,20.0
4966,4967,11,22,1981,20,PE,F,21.0,21.0
4970,4971,11,22,1981,15,PE,M,19.0,10.0
4984,4985,11,22,1981,15,PE,M,22.0,19.0
5070,5071,11,23,1981,2,PE,M,19.0,19.0
5073,5074,11,23,1981,2,PE,M,21.0,19.0
5075,5076,11,23,1981,2,PE,F,21.0,19.0
5079,5080,12,30,1981,15,PE,F,23.0,23.0
5084,5085,12,30,1981,15,PE,F,22.0,16.0
5089,5090,12,30,1981,15,PE,F,23.0,18.0
5095,5096,12,30,1981,19,PE,F,22.0,20.0
5104,5105,12,30,1981,19,PE,M,22.0,23.0
5114,5115,12,31,1981,7,PE,F,22.0,24.0
5129,5130,12,31,1981,24,PE,F,22.0,23.0
5132,5133,12,31,1981,24,PE,F,21.0,23.0
5138,5139,12,31,1981,10,PE,M,21.0,21.0
5147,5148,12,31,1981,13,PE,M,19.0,21.0
5177,5178,1,1,1982,2,PE,F,20.0,25.0
5183,5184,1,1,1982,2,PE,F,19.0,21.0
5191,5192,1,1,1982,2,PE,M,18.0,24.0
5195,5196,1,1,1982,2,PE,M,19.0,25.0
5199,5200,1,24,1982,24,PE,M,20.0,22.0
