,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
5,6,7,16,1977,1,PF,M,14.0,
9,10,7,16,1977,6,PF,F,20.0,
18,19,7,16,1977,4,PF,,,
68,69,8,19,1977,2,PF,M,15.0,8.0
73,74,8,19,1977,8,PF,M,12.0,7.0
77,78,8,19,1977,1,PF,M,16.0,9.0
80,81,8,19,1977,4,PF,F,14.0,8.0
86,87,8,20,1977,5,PF,F,11.0,9.0
112,113,8,20,1977,5,PF,F,13.0,8.0
135,136,8,21,1977,13,PF,F,16.0,
138,139,8,21,1977,14,PF,M,15.0,
171,172,9,11,1977,22,PF,F,,8.0
195,196,9,12,1977,7,PF,F,15.0,7.0
211,212,9,12,1977,16,PF,,,
215,216,9,12,1977,4,PF,F,13.0,9.0
217,218,9,13,1977,1,PF,M,13.0,4.0
331,332,10,18,1977,12,PF,M,16.0,8.0
342,343,10,18,1977,21,PF,,,
357,358,11,12,1977,13,PF,F,16.0,7.0
367,368,11,12,1977,9,PF,F,16.0,7.0
374,375,11,12,1977,9,PF,F,15.0,6.0
375,376,11,12,1977,1,PF,F,15.0,7.0
390,391,11,13,1977,11,PF,M,15.0,7.0
407,408,11,14,1977,8,PF,F,9.0,6.0
429,430,12,10,1977,9,PF,F,15.0,7.0
431,432,12,10,1977,2,PF,,,
433,434,12,10,1977,13,PF,F,16.0,7.0
439,440,12,10,1977,1,PF,F,16.0,7.0
469,470,12,11,1977,4,PF,M,15.0,6.0
473,474,12,11,1977,8,PF,F,15.0,6.0
497,498,12,11,1977,3,PF,M,16.0,7.0
509,510,1,8,1978,13,PF,F,16.0,8.0
513,514,1,8,1978,9,PF,M,16.0,7.0
519,520,1,8,1978,3,PF,M,15.0,7.0
531,532,1,8,1978,2,PF,F,,7.0
589,590,2,18,1978,2,PF,F,16.0,7.0
620,621,2,19,1978,4,PF,,,
649,650,3,11,1978,2,PF,F,15.0,7.0
651,652,3,11,1978,2,PF,M,14.0,8.0
661,662,3,11,1978,13,PF,F,15.0,8.0
671,672,3,11,1978,3,PF,M,15.0,8.0
682,683,3,12,1978,21,PF,F,,
685,686,3,12,1978,4,PF,,,
737,738,4,8,1978,13,PF,M,,
749,750,4,8,1978,9,PF,F,,
832,833,5,6,1978,2,PF,M,14.0,8.0
919,920,5,19,1978,8,PF,F,15.0,7.0
967,968,6,8,1978,22,PF,M,13.0,7.0
968,969,6,8,1978,21,PF,M,15.0,8.0
975,976,6,8,1978,8,PF,F,15.0,8.0
994,995,6,9,1978,2,PF,M,16.0,8.0
1063,1064,7,7,1978,21,PF,M,16.0,8.0
1123,1124,8,4,1978,21,PF,M,15.0,8.0
1160,1161,8,5,1978,6,PF,F,16.0,6.0
1213,1214,9,3,1978,21,PF,M,16.0,7.0
1216,1217,9,3,1978,20,PF,M,16.0,8.0
1229,1230,9,3,1978,19,PF,M,16.0,6.0
1231,1232,9,3,1978,9,PF,M,15.0,7.0
1245,1246,9,3,1978,8,PF,M,15.0,8.0
1264,1265,9,4,1978,15,PF,F,16.0,6.0
1274,1275,9,4,1978,3,PF,F,17.0,7.0
1281,1282,9,4,1978,4,PF,F,16.0,6.0
1342,1343,10,7,1978,11,PF,F,15.0,6.0
1350,1351,10,8,1978,2,PF,M,15.0,6.0
1356,1357,10,8,1978,18,PF,F,15.0,7.0
1365,1366,10,8,1978,3,PF,F,15.0,
1371,1372,10,8,1978,13,PF,F,15.0,7.0
1379,1380,10,8,1978,3,PF,F,16.0,6.0
1385,1386,10,8,1978,15,PF,F,15.0,7.0
1399,1400,11,4,1978,19,PF,M,15.0,6.0
1426,1427,11,4,1978,21,PF,F,15.0,6.0
1685,1686,3,31,1979,13,PF,F,16.0,7.0
1687,1688,3,31,1979,22,PF,F,20.0,7.0
1795,1796,5,29,1979,21,PF,F,15.0,
1855,1856,7,3,1979,22,PF,F,16.0,8.0
1859,1860,7,3,1979,20,PF,F,15.0,9.0
1870,1871,7,3,1979,21,PF,F,15.0,7.0
1871,1872,7,3,1979,21,PF,M,15.0,8.0
1909,1910,7,24,1979,20,PF,M,17.0,10.0
1915,1916,7,24,1979,20,PF,F,20.0,9.0
1916,1917,7,24,1979,21,PF,M,21.0,
1922,1923,7,25,1979,18,PF,F,,6.0
2050,2051,9,23,1979,2,PF,F,16.0,7.0
2060,2061,9,23,1979,3,PF,F,15.0,7.0
2116,2117,10,25,1979,3,PF,M,20.0,7.0
2146,2147,11,17,1979,15,PF,M,14.0,6.0
2163,2164,11,17,1979,3,PF,M,14.0,7.0
2166,2167,11,17,1979,2,PF,F,14.0,7.0
2178,2179,11,17,1979,3,PF,F,14.0,8.0
2248,2249,11,18,1979,21,PF,M,15.0,8.0
2271,2272,1,15,1980,11,PF,F,16.0,10.0
2276,2277,1,15,1980,8,PF,M,15.0,8.0
2312,2313,1,15,1980,21,PF,M,16.0,8.0
2327,2328,1,15,1980,21,PF,F,16.0,9.0
2379,2380,1,16,1980,15,PF,M,14.0,7.0
2392,2393,1,16,1980,3,PF,F,15.0,7.0
2403,2404,1,16,1980,4,PF,F,15.0,7.0
2404,2405,1,16,1980,15,PF,F,16.0,7.0
2413,2414,2,24,1980,11,PF,F,15.0,7.0
2437,2438,2,24,1980,21,PF,M,15.0,9.0
2502,2503,2,25,1980,3,PF,M,15.0,7.0
2505,2506,2,25,1980,3,PF,F,15.0,5.0
2513,2514,2,25,1980,4,PF,F,15.0,7.0
2515,2516,2,25,1980,15,PF,M,14.0,7.0
2532,2533,2,25,1980,3,PF,M,14.0,8.0
2535,2536,3,9,1980,2,PF,F,,7.0
2539,2540,3,9,1980,21,PF,M,,7.0
2547,2548,3,9,1980,3,PF,F,,6.0
2575,2576,3,9,1980,15,PF,F,,7.0
2582,2583,3,9,1980,3,PF,M,,8.0
2590,2591,3,9,1980,4,PF,M,,5.0
2594,2595,3,9,1980,3,PF,M,,8.0
2616,2617,3,9,1980,11,PF,F,,7.0
2635,2636,3,9,1980,3,PF,M,,7.0
2658,2659,3,9,1980,21,PF,M,,9.0
2719,2720,3,9,1980,5,PF,M,,6.0
2728,2729,3,9,1980,4,PF,F,,7.0
2729,2730,3,9,1980,6,PF,M,,7.0
2752,2753,3,21,1980,1,PF,F,14.0,7.0
2759,2760,3,21,1980,21,PF,M,,
2776,2777,3,21,1980,8,PF,,,
2788,2789,3,22,1980,15,PF,,,
2799,2800,3,22,1980,3,PF,M,,8.0
2802,2803,3,22,1980,4,PF,M,,5.0
2806,2807,3,22,1980,15,PF,F,,11.0
2809,2810,3,22,1980,3,PF,M,,8.0
2820,2821,3,22,1980,13,PF,F,,7.0
2823,2824,3,22,1980,6,PF,,,
2834,2835,4,17,1980,1,PF,F,,7.0
2857,2858,4,17,1980,8,PF,M,15.0,8.0
2869,2870,4,18,1980,15,PF,F,,8.0
2870,2871,4,18,1980,4,PF,M,,7.0
2874,2875,4,18,1980,6,PF,M,,8.0
2879,2880,4,18,1980,5,PF,M,,8.0
2880,2881,4,18,1980,3,PF,M,,8.0
2882,2883,4,18,1980,2,PF,M,,8.0
2898,2899,4,18,1980,15,PF,M,,7.0
2899,2900,4,18,1980,2,PF,M,,6.0
2904,2905,4,18,1980,15,PF,M,,8.0
2927,2928,5,17,1980,11,PF,F,15.0,8.0
2965,2966,5,18,1980,15,PF,M,14.0,7.0
2966,2967,5,18,1980,15,PF,M,14.0,7.0
2973,2974,5,18,1980,13,PF,M,14.0,6.0
2988,2989,5,18,1980,15,PF,F,14.0,8.0
2989,2990,5,18,1980,3,PF,F,15.0,7.0
3058,3059,6,22,1980,11,PF,M,15.0,7.0
3099,3100,6,23,1980,6,PF,M,15.0,7.0
