,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
9475,9476,8,25,1984,14,PH,M,27.0,31.0
9501,9502,8,26,1984,5,PH,M,28.0,29.0
9575,9576,9,30,1984,3,PH,F,26.0,28.0
9630,9631,10,20,1984,21,PH,F,25.0,25.0
9652,9653,10,20,1984,21,PH,F,25.0,23.0
9687,9688,10,21,1984,3,PH,F,,
9728,9729,12,30,1984,21,PH,F,25.0,32.0
10756,10757,9,21,1985,21,PH,M,26.0,30.0
11004,11005,11,16,1985,21,PH,M,25.0,34.0
11140,11141,12,7,1985,21,PH,M,26.0,34.0
11279,11280,3,8,1986,21,PH,M,27.0,39.0
15120,15121,11,6,1988,11,PH,M,26.0,33.0
16628,16629,11,4,1989,22,PH,F,26.0,29.0
16788,16789,12,4,1989,22,PH,F,27.0,32.0
17023,17024,1,29,1990,22,PH,F,28.0,33.0
17154,17155,2,24,1990,22,PH,F,27.0,33.0
17271,17272,3,29,1990,22,PH,F,27.0,34.0
17398,17399,4,24,1990,22,PH,F,27.0,34.0
17504,17505,5,23,1990,22,PH,F,26.0,34.0
17679,17680,7,21,1990,22,PH,F,28.0,32.0
17682,17683,7,21,1990,22,PH,F,25.0,18.0
19589,19590,1,9,1992,13,PH,F,24.0,29.0
19743,19744,2,8,1992,13,PH,F,25.0,29.0
19856,19857,3,8,1992,13,PH,F,26.0,29.0
19898,19899,4,4,1992,21,PH,F,27.0,31.0
19905,19906,4,5,1992,13,PH,M,22.0,18.0
19916,19917,4,5,1992,13,PH,M,25.0,34.0
19968,19969,5,2,1992,21,PH,F,26.0,48.0
22442,22443,7,20,1995,1,PH,M,26.0,42.0
22453,22454,7,20,1995,1,PH,F,23.0,29.0
22677,22678,9,23,1995,1,PH,F,25.0,35.0
25810,25811,5,10,1997,18,PH,M,23.0,22.0
