,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
22816,22817,9,24,1995,10,PL,,20.0,25.0
23134,23135,12,21,1995,24,PL,F,20.0,21.0
23146,23147,12,21,1995,24,PL,M,20.0,21.0
23218,23219,1,27,1996,24,PL,F,20.0,21.0
23253,23254,1,27,1996,23,PL,F,20.0,24.0
23339,23340,1,28,1996,10,PL,F,19.0,20.0
23571,23572,3,23,1996,23,PL,M,20.0,19.0
23698,23699,4,14,1996,23,PL,M,21.0,20.0
24581,24582,10,12,1996,24,PL,F,19.0,23.0
24958,24959,2,8,1997,24,PL,M,21.0,21.0
24986,24987,2,8,1997,24,PL,F,21.0,27.0
25058,25059,2,9,1997,10,PL,M,20.0,21.0
25093,25094,2,9,1997,9,PL,F,21.0,22.0
25133,25134,2,9,1997,14,PL,M,21.0,23.0
26349,26350,7,9,1997,24,PL,F,21.0,16.0
26419,26420,7,9,1997,19,PL,M,18.0,10.0
26423,26424,7,9,1997,16,PL,F,22.0,18.0
26556,26557,7,29,1997,7,PL,F,20.0,22.0
26700,26701,7,30,1997,3,PL,M,21.0,19.0
26786,26787,9,27,1997,7,PL,F,21.0,16.0
26888,26889,9,28,1997,16,PL,F,21.0,10.0
26920,26921,9,28,1997,5,PL,M,22.0,20.0
26930,26931,9,28,1997,10,PL,F,10.0,19.0
26933,26934,9,28,1997,10,PL,M,21.0,22.0
26965,26966,10,25,1997,7,PL,M,20.0,16.0
27184,27185,11,22,1997,7,PL,F,21.0,22.0
27385,27386,12,29,1997,3,PL,M,20.0,17.0
27392,27393,12,29,1997,15,PL,M,19.0,16.0
27480,27481,2,1,1998,15,PL,M,19.0,18.0
27537,27538,2,1,1998,10,PL,F,20.0,20.0
27791,27792,5,2,1998,7,PL,F,20.0,8.0
27800,27801,5,3,1998,15,PL,M,21.0,22.0
27897,27898,5,28,1998,23,PL,M,20.0,20.0
27956,27957,5,29,1998,9,PL,M,21.0,16.0
27974,27975,5,29,1998,10,PL,M,20.0,13.0
30498,30499,3,4,2000,24,PL,M,20.0,21.0
