,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
882,883,5,18,1978,17,PM,F,20.0,22.0
1131,1132,8,4,1978,19,PM,F,,21.0
1139,1140,8,4,1978,19,PM,M,20.0,19.0
1652,1653,2,25,1979,2,PM,F,19.0,26.0
1656,1657,2,25,1979,15,PM,F,19.0,24.0
1669,1670,2,25,1979,2,PM,M,21.0,26.0
1764,1765,4,29,1979,15,PM,M,22.0,18.0
2170,2171,11,17,1979,1,PM,M,22.0,25.0
2192,2193,11,18,1979,7,PM,M,21.0,23.0
3639,3640,12,16,1980,23,PM,M,21.0,21.0
3764,3765,1,12,1981,10,PM,F,19.0,26.0
3943,3944,3,8,1981,21,PM,M,21.0,16.0
4098,4099,4,5,1981,19,PM,F,20.0,23.0
4102,4103,4,5,1981,20,PM,M,22.0,20.0
4253,4254,4,6,1981,24,PM,M,,19.0
4302,4303,4,6,1981,21,PM,M,,
4374,4375,5,3,1981,19,PM,F,20.0,25.0
4488,4489,6,4,1981,15,PM,M,21.0,20.0
4539,4540,6,4,1981,15,PM,F,22.0,20.0
4640,4641,7,7,1981,19,PM,M,22.0,23.0
4892,4893,10,24,1981,19,PM,M,19.0,18.0
4991,4992,11,22,1981,19,PM,M,21.0,24.0
5004,5005,11,22,1981,18,PM,F,21.0,24.0
5082,5083,12,30,1981,19,PM,F,21.0,10.0
5105,5106,12,30,1981,19,PM,F,22.0,9.0
5110,5111,12,30,1981,19,PM,M,23.0,22.0
5173,5174,1,1,1982,3,PM,M,20.0,24.0
5214,5215,1,24,1982,19,PM,M,21.0,24.0
5233,5234,1,24,1982,10,PM,M,19.0,20.0
5235,5236,1,24,1982,10,PM,F,20.0,19.0
5329,5330,2,22,1982,19,PM,M,21.0,23.0
5349,5350,2,22,1982,21,PM,M,21.0,22.0
5351,5352,2,22,1982,21,PM,F,,
5527,5528,3,29,1982,24,PM,M,18.0,18.0
5537,5538,3,29,1982,19,PM,M,21.0,22.0
5566,5567,3,29,1982,10,PM,M,20.0,10.0
5572,5573,3,29,1982,19,PM,M,21.0,12.0
5575,5576,3,29,1982,19,PM,M,20.0,18.0
5576,5577,3,29,1982,10,PM,F,21.0,12.0
5578,5579,3,29,1982,18,PM,M,19.0,17.0
5580,5581,3,29,1982,19,PM,M,20.0,11.0
5595,5596,3,30,1982,7,PM,F,21.0,27.0
5636,5637,3,30,1982,15,PM,F,19.0,34.0
5656,5657,3,30,1982,17,PM,F,21.0,28.0
5681,5682,4,28,1982,10,PM,M,20.0,17.0
5687,5688,4,28,1982,10,PM,F,19.0,13.0
5696,5697,4,28,1982,17,PM,M,21.0,17.0
5714,5715,4,28,1982,10,PM,F,21.0,32.0
5730,5731,4,28,1982,19,PM,M,20.0,19.0
5741,5742,4,28,1982,12,PM,F,19.0,19.0
5762,5763,4,29,1982,7,PM,,19.0,19.0
5773,5774,4,29,1982,15,PM,F,19.0,18.0
5779,5780,4,29,1982,7,PM,,19.0,17.0
5791,5792,4,29,1982,7,PM,,26.0,20.0
5829,5830,4,29,1982,15,PM,M,21.0,23.0
5860,5861,5,21,1982,24,PM,M,18.0,23.0
5883,5884,5,21,1982,19,PM,M,21.0,20.0
5887,5888,5,21,1982,18,PM,F,22.0,24.0
6001,6002,6,28,1982,15,PM,F,,29.0
6030,6031,6,28,1982,15,PM,M,,23.0
6086,6087,6,29,1982,24,PM,F,,18.0
6088,6089,6,29,1982,19,PM,M,,21.0
6100,6101,6,29,1982,24,PM,M,,24.0
6133,6134,6,29,1982,19,PM,F,,34.0
6198,6199,7,25,1982,7,PM,,,
6226,6227,7,26,1982,24,PM,M,,24.0
6235,6236,7,26,1982,15,PM,F,,22.0
6252,6253,7,26,1982,24,PM,F,,21.0
6277,6278,7,26,1982,18,PM,F,,16.0
6285,6286,7,26,1982,15,PM,F,,22.0
6291,6292,7,27,1982,19,PM,M,,24.0
6302,6303,7,27,1982,19,PM,F,,25.0
6323,6324,7,27,1982,19,PM,M,,22.0
6328,6329,8,15,1982,19,PM,F,20.0,18.0
6330,6331,8,15,1982,24,PM,F,18.0,23.0
6347,6348,8,15,1982,24,PM,M,20.0,22.0
6362,6363,8,15,1982,18,PM,M,20.0,23.0
6389,6390,8,15,1982,18,PM,M,20.0,18.0
6401,6402,8,15,1982,24,PM,M,20.0,25.0
6413,6414,8,15,1982,19,PM,F,21.0,27.0
6425,6426,8,16,1982,7,PM,,,
6439,6440,8,16,1982,8,PM,F,20.0,23.0
6482,6483,8,16,1982,15,PM,M,20.0,21.0
6562,6563,9,18,1982,14,PM,M,21.0,23.0
6602,6603,9,19,1982,19,PM,M,21.0,21.0
6616,6617,9,19,1982,24,PM,M,21.0,23.0
6635,6636,9,19,1982,19,PM,M,21.0,23.0
6651,6652,10,23,1982,23,PM,F,21.0,19.0
6683,6684,10,23,1982,19,PM,M,20.0,23.0
6727,6728,10,23,1982,15,PM,M,19.0,19.0
6770,6771,10,23,1982,19,PM,M,21.0,21.0
6794,6795,10,24,1982,6,PM,F,19.0,26.0
6796,6797,10,24,1982,16,PM,F,20.0,19.0
