,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
17,18,7,16,1977,2,PP,M,22.0,
28,29,7,17,1977,11,PP,M,,
48,49,7,18,1977,12,PP,F,17.0,
88,89,8,20,1977,12,PP,F,20.0,15.0
107,108,8,20,1977,11,PP,M,21.0,
162,163,9,11,1977,12,PP,F,21.0,16.0
216,217,9,13,1977,3,PP,F,19.0,15.0
896,897,5,18,1978,11,PP,M,21.0,15.0
932,933,5,19,1978,2,PP,F,20.0,13.0
980,981,6,8,1978,11,PP,M,21.0,15.0
990,991,6,9,1978,13,PP,M,23.0,17.0
1031,1032,7,7,1978,11,PP,M,22.0,16.0
1075,1076,7,8,1978,15,PP,F,21.0,12.0
1077,1078,7,8,1978,15,PP,F,23.0,10.0
1087,1088,7,8,1978,14,PP,M,23.0,10.0
1115,1116,8,4,1978,12,PP,M,22.0,18.0
1125,1126,8,4,1978,20,PP,F,22.0,13.0
1134,1135,8,4,1978,21,PP,M,19.0,14.0
1180,1181,8,5,1978,15,PP,F,21.0,14.0
1200,1201,9,3,1978,12,PP,M,23.0,19.0
1220,1221,9,3,1978,11,PP,F,22.0,14.0
1226,1227,9,3,1978,11,PP,M,22.0,13.0
1235,1236,9,3,1978,21,PP,M,22.0,15.0
1256,1257,9,4,1978,3,PP,F,21.0,13.0
1263,1264,9,4,1978,15,PP,F,20.0,15.0
1293,1294,9,4,1978,2,PP,M,21.0,19.0
1317,1318,10,7,1978,11,PP,F,21.0,15.0
1351,1352,10,8,1978,3,PP,F,22.0,
1367,1368,10,8,1978,15,PP,F,21.0,16.0
1374,1375,10,8,1978,13,PP,M,23.0,20.0
1377,1378,10,8,1978,18,PP,M,21.0,16.0
1756,1757,4,29,1979,15,PP,F,21.0,15.0
1788,1789,5,29,1979,20,PP,M,21.0,20.0
1822,1823,5,30,1979,15,PP,F,22.0,
1841,1842,5,30,1979,15,PP,M,22.0,20.0
1883,1884,7,4,1979,15,PP,F,22.0,14.0
1894,1895,7,4,1979,15,PP,F,20.0,16.0
1897,1898,7,4,1979,2,PP,M,20.0,10.0
1939,1940,7,25,1979,11,PP,M,22.0,16.0
1945,1946,7,26,1979,15,PP,F,22.0,16.0
1947,1948,7,26,1979,15,PP,F,20.0,17.0
1952,1953,7,26,1979,15,PP,F,21.0,11.0
1953,1954,7,26,1979,15,PP,F,20.0,11.0
1987,1988,8,22,1979,15,PP,F,20.0,15.0
2012,2013,8,23,1979,1,PP,F,20.0,14.0
2038,2039,9,22,1979,8,PP,F,22.0,14.0
2046,2047,9,23,1979,15,PP,F,20.0,16.0
2070,2071,9,23,1979,1,PP,F,22.0,14.0
2083,2084,10,24,1979,11,PP,M,21.0,16.0
2126,2127,10,25,1979,15,PP,F,21.0,16.0
2259,2260,11,18,1979,11,PP,M,22.0,16.0
2563,2564,3,9,1980,9,PP,M,,15.0
2852,2853,4,17,1980,1,PP,F,,12.0
