,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
5763,5764,4,29,1982,3,RF,M,17.0,12.0
7028,7029,11,21,1982,15,RF,M,16.0,11.0
14061,14062,2,21,1988,19,RF,F,17.0,11.0
14256,14257,3,20,1988,19,RF,F,19.0,12.0
14360,14361,4,17,1988,23,RF,F,17.0,13.0
14609,14610,6,12,1988,3,RF,F,20.0,15.0
14863,14864,9,11,1988,23,RF,F,17.0,18.0
15137,15138,11,6,1988,3,RF,F,18.0,16.0
15164,15165,12,13,1988,20,RF,F,17.0,13.0
15195,15196,12,13,1988,6,RF,M,17.0,14.0
15206,15207,12,13,1988,12,RF,F,17.0,13.0
15241,15242,12,14,1988,11,RF,M,17.0,14.0
15255,15256,12,14,1988,10,RF,M,17.0,13.0
15318,15319,1,10,1989,20,RF,F,17.0,16.0
15333,15334,1,10,1989,20,RF,F,17.0,10.0
15365,15366,1,10,1989,12,RF,F,18.0,18.0
15374,15375,1,10,1989,6,RF,M,16.0,13.0
15387,15388,1,11,1989,10,RF,M,17.0,12.0
15467,15468,1,11,1989,10,RF,F,18.0,16.0
15491,15492,2,4,1989,20,RF,F,18.0,16.0
15501,15502,2,4,1989,16,RF,F,17.0,13.0
15515,15516,2,4,1989,20,RF,F,18.0,10.0
15535,15536,2,4,1989,6,RF,M,19.0,13.0
15560,15561,2,4,1989,12,RF,F,17.0,13.0
15578,15579,2,5,1989,10,RF,M,19.0,11.0
15582,15583,2,5,1989,10,RF,F,17.0,13.0
15611,15612,2,5,1989,5,RF,M,17.0,12.0
15722,15723,3,12,1989,6,RF,F,17.0,16.0
15731,15732,3,13,1989,20,RF,F,17.0,14.0
15776,15777,3,13,1989,21,RF,F,18.0,16.0
15794,15795,3,14,1989,10,RF,F,17.0,14.0
15804,15805,3,14,1989,10,RF,M,17.0,12.0
15854,15855,4,1,1989,10,RF,M,18.0,12.0
15892,15893,4,1,1989,10,RF,F,17.0,16.0
15898,15899,4,1,1989,12,RF,F,17.0,12.0
15907,15908,4,1,1989,6,RF,F,16.0,12.0
15920,15921,4,2,1989,20,RF,F,17.0,13.0
15928,15929,4,2,1989,20,RF,F,17.0,11.0
15945,15946,4,2,1989,7,RF,M,17.0,11.0
15990,15991,5,9,1989,20,RF,F,18.0,13.0
16010,16011,5,10,1989,10,RF,M,19.0,13.0
16078,16079,5,11,1989,6,RF,F,17.0,10.0
16088,16089,6,3,1989,18,RF,M,17.0,11.0
16123,16124,6,3,1989,12,RF,F,17.0,12.0
16130,16131,6,3,1989,6,RF,F,17.0,10.0
16164,16165,6,4,1989,13,RF,F,15.0,11.0
16218,16219,7,3,1989,12,RF,M,19.0,15.0
16232,16233,7,3,1989,20,RF,F,,11.0
16242,16243,7,3,1989,6,RF,F,,9.0
16263,16264,7,3,1989,12,RF,F,18.0,14.0
16313,16314,7,4,1989,13,RF,F,18.0,13.0
16381,16382,7,30,1989,2,RF,F,17.0,16.0
16518,16519,10,7,1989,3,RF,F,18.0,16.0
16534,16535,10,7,1989,21,RF,F,18.0,18.0
16606,16607,11,4,1989,12,RF,F,17.0,17.0
16626,16627,11,4,1989,24,RF,F,17.0,12.0
16651,16652,11,4,1989,7,RF,F,18.0,15.0
16700,16701,11,5,1989,5,RF,F,17.0,17.0
16748,16749,12,4,1989,12,RF,F,18.0,15.0
16798,16799,12,4,1989,24,RF,F,19.0,14.0
16808,16809,12,5,1989,13,RF,F,18.0,14.0
16871,16872,12,5,1989,5,RF,F,18.0,13.0
16930,16931,1,7,1990,5,RF,M,18.0,13.0
16937,16938,1,7,1990,13,RF,F,18.0,14.0
17002,17003,1,29,1990,24,RF,F,19.0,11.0
17013,17014,1,29,1990,18,RF,F,18.0,12.0
17103,17104,1,30,1990,5,RF,F,17.0,14.0
17111,17112,1,30,1990,13,RF,F,18.0,13.0
17190,17191,2,25,1990,10,RF,F,18.0,14.0
17251,17252,3,29,1990,24,RF,F,17.0,12.0
17303,17304,3,30,1990,10,RF,F,18.0,14.0
17311,17312,3,30,1990,13,RF,F,18.0,15.0
17377,17378,4,24,1990,24,RF,F,19.0,11.0
17408,17409,4,24,1990,23,RF,M,18.0,12.0
25593,25594,4,13,1997,3,RF,F,17.0,20.0
