,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
310,311,10,17,1977,19,RM,M,18.0,13.0
396,397,11,13,1977,17,RM,F,16.0,7.0
694,695,3,12,1978,17,RM,,,
1477,1478,12,2,1978,19,RM,M,17.0,8.0
1493,1494,12,2,1978,21,RM,F,17.0,7.0
2134,2135,10,25,1979,3,RM,M,14.0,7.0
2149,2150,11,17,1979,3,RM,M,13.0,7.0
2153,2154,11,17,1979,14,RM,F,14.0,9.0
2184,2185,11,17,1979,24,RM,M,14.0,7.0
2254,2255,11,18,1979,11,RM,F,15.0,9.0
2257,2258,11,18,1979,19,RM,F,12.0,11.0
2287,2288,1,15,1980,19,RM,F,17.0,12.0
2302,2303,1,15,1980,19,RM,F,18.0,9.0
2314,2315,1,15,1980,17,RM,F,17.0,9.0
2315,2316,1,15,1980,19,RM,M,16.0,9.0
2326,2327,1,15,1980,10,RM,M,16.0,10.0
2378,2379,1,16,1980,15,RM,F,15.0,10.0
2418,2419,2,24,1980,19,RM,M,15.0,10.0
2419,2420,2,24,1980,20,RM,F,16.0,12.0
2424,2425,2,24,1980,11,RM,F,17.0,16.0
2431,2432,2,24,1980,21,RM,F,14.0,8.0
2441,2442,2,24,1980,10,RM,M,16.0,10.0
2508,2509,2,25,1980,13,RM,M,14.0,8.0
2511,2512,2,25,1980,3,RM,M,16.0,11.0
2512,2513,2,25,1980,3,RM,M,17.0,11.0
2517,2518,2,25,1980,2,RM,F,17.0,9.0
2522,2523,2,25,1980,15,RM,F,16.0,9.0
2528,2529,2,25,1980,15,RM,M,15.0,8.0
2536,2537,3,9,1980,3,RM,M,,10.0
2572,2573,3,9,1980,3,RM,F,,14.0
2580,2581,3,9,1980,21,RM,F,,11.0
2622,2623,3,9,1980,12,RM,M,,10.0
2624,2625,3,9,1980,20,RM,F,,16.0
2638,2639,3,9,1980,21,RM,M,,8.0
2644,2645,3,9,1980,19,RM,M,,9.0
2645,2646,3,9,1980,2,RM,M,,10.0
2651,2652,3,9,1980,19,RM,M,,10.0
2672,2673,3,9,1980,19,RM,F,,12.0
2684,2685,3,9,1980,11,RM,F,,14.0
2696,2697,3,9,1980,22,RM,F,,
2753,2754,3,21,1980,21,RM,F,,5.0
2754,2755,3,21,1980,19,RM,F,,13.0
2757,2758,3,21,1980,12,RM,F,,
2758,2759,3,21,1980,19,RM,F,,12.0
2763,2764,3,21,1980,12,RM,M,,9.0
2766,2767,3,21,1980,21,RM,F,,5.0
2773,2774,3,21,1980,19,RM,M,,9.0
2792,2793,3,22,1980,3,RM,M,,10.0
2796,2797,3,22,1980,3,RM,M,,10.0
2824,2825,3,22,1980,15,RM,M,,7.0
2833,2834,4,17,1980,19,RM,M,,10.0
2843,2844,4,17,1980,19,RM,M,,9.0
2847,2848,4,17,1980,10,RM,F,,12.0
2871,2872,4,18,1980,3,RM,M,,10.0
2889,2890,4,18,1980,3,RM,F,,12.0
2893,2894,4,18,1980,24,RM,F,,9.0
3331,3332,10,11,1980,24,RM,F,17.0,13.0
3697,3698,1,11,1981,19,RM,M,16.0,11.0
3708,3709,1,11,1981,19,RM,F,16.0,12.0
3779,3780,1,12,1981,12,RM,M,16.0,11.0
3830,3831,1,31,1981,12,RM,M,16.0,12.0
3837,3838,1,31,1981,19,RM,F,16.0,
3840,3841,1,31,1981,19,RM,M,16.0,9.0
3907,3908,3,8,1981,19,RM,M,17.0,10.0
3911,3912,3,8,1981,23,RM,F,17.0,13.0
4117,4118,4,5,1981,23,RM,F,,17.0
4378,4379,5,3,1981,23,RM,F,17.0,15.0
4530,4531,6,4,1981,23,RM,F,18.0,12.0
4584,4585,6,5,1981,19,RM,M,16.0,12.0
4859,4860,10,1,1981,4,RM,M,19.0,14.0
4965,4966,11,22,1981,17,RM,M,18.0,10.0
5005,5006,11,22,1981,19,RM,M,17.0,10.0
5007,5008,11,22,1981,24,RM,F,17.0,11.0
5030,5031,11,23,1981,3,RM,F,17.0,9.0
5060,5061,11,23,1981,3,RM,F,16.0,9.0
5081,5082,12,30,1981,21,RM,F,17.0,10.0
5087,5088,12,30,1981,17,RM,F,17.0,10.0
5088,5089,12,30,1981,19,RM,M,18.0,9.0
5091,5092,12,30,1981,20,RM,M,17.0,10.0
5093,5094,12,30,1981,21,RM,F,17.0,11.0
5094,5095,12,30,1981,19,RM,F,19.0,14.0
5100,5101,12,30,1981,15,RM,M,16.0,9.0
5102,5103,12,30,1981,15,RM,F,18.0,12.0
5113,5114,12,31,1981,12,RM,F,16.0,9.0
5122,5123,12,31,1981,12,RM,M,17.0,8.0
5141,5142,12,31,1981,11,RM,F,17.0,14.0
5159,5160,1,1,1982,3,RM,F,16.0,11.0
5161,5162,1,1,1982,3,RM,F,17.0,10.0
5175,5176,1,1,1982,5,RM,M,16.0,9.0
5181,5182,1,1,1982,3,RM,F,16.0,15.0
5187,5188,1,1,1982,3,RM,F,16.0,16.0
5189,5190,1,1,1982,2,RM,F,17.0,11.0
5210,5211,1,24,1982,23,RM,M,16.0,9.0
5211,5212,1,24,1982,21,RM,F,16.0,8.0
5216,5217,1,24,1982,12,RM,F,18.0,13.0
5223,5224,1,24,1982,12,RM,M,15.0,7.0
5227,5228,1,24,1982,20,RM,M,16.0,11.0
5229,5230,1,24,1982,19,RM,M,17.0,12.0
5239,5240,1,24,1982,10,RM,M,17.0,10.0
5241,5242,1,24,1982,11,RM,F,17.0,14.0
5244,5245,1,24,1982,21,RM,M,14.0,11.0
5245,5246,1,24,1982,24,RM,M,16.0,10.0
5263,5264,1,24,1982,21,RM,F,16.0,10.0
5294,5295,1,25,1982,3,RM,F,16.0,13.0
5306,5307,1,25,1982,3,RM,F,16.0,12.0
5313,5314,1,25,1982,17,RM,M,17.0,10.0
5314,5315,1,25,1982,16,RM,M,16.0,11.0
5327,5328,2,22,1982,17,RM,F,15.0,9.0
5328,5329,2,22,1982,19,RM,M,16.0,9.0
5341,5342,2,22,1982,12,RM,F,16.0,13.0
5352,5353,2,22,1982,17,RM,M,17.0,9.0
5355,5356,2,22,1982,24,RM,M,16.0,9.0
5356,5357,2,22,1982,20,RM,F,15.0,10.0
5358,5359,2,22,1982,20,RM,M,17.0,10.0
5373,5374,2,22,1982,17,RM,M,17.0,11.0
5375,5376,2,22,1982,19,RM,F,17.0,10.0
5376,5377,2,22,1982,19,RM,F,16.0,8.0
5377,5378,2,22,1982,18,RM,M,15.0,11.0
5378,5379,2,22,1982,19,RM,M,17.0,12.0
5379,5380,2,22,1982,17,RM,M,16.0,11.0
5381,5382,2,22,1982,19,RM,M,16.0,10.0
5383,5384,2,22,1982,24,RM,F,16.0,11.0
5394,5395,2,23,1982,11,RM,F,17.0,13.0
5401,5402,2,23,1982,6,RM,M,16.0,11.0
5408,5409,2,23,1982,3,RM,M,16.0,9.0
5409,5410,2,23,1982,4,RM,M,16.0,9.0
5416,5417,2,23,1982,3,RM,F,17.0,10.0
5422,5423,2,23,1982,11,RM,F,17.0,11.0
5423,5424,2,23,1982,3,RM,M,16.0,7.0
5430,5431,2,23,1982,11,RM,M,16.0,10.0
5432,5433,2,23,1982,3,RM,M,18.0,10.0
5436,5437,2,23,1982,15,RM,M,17.0,11.0
5438,5439,2,23,1982,3,RM,F,17.0,15.0
5439,5440,2,23,1982,15,RM,M,16.0,9.0
5446,5447,2,23,1982,3,RM,F,17.0,13.0
5447,5448,2,23,1982,3,RM,F,17.0,7.0
5453,5454,2,23,1982,3,RM,M,18.0,11.0
5465,5466,2,24,1982,1,RM,M,16.0,8.0
5468,5469,2,24,1982,1,RM,M,15.0,9.0
5476,5477,2,24,1982,2,RM,F,17.0,8.0
5488,5489,2,24,1982,2,RM,M,16.0,9.0
5497,5498,2,24,1982,9,RM,M,17.0,10.0
5501,5502,2,24,1982,2,RM,M,16.0,9.0
5508,5509,3,29,1982,21,RM,M,17.0,11.0
5519,5520,3,29,1982,21,RM,F,16.0,10.0
5521,5522,3,29,1982,24,RM,F,17.0,12.0
5523,5524,3,29,1982,23,RM,F,16.0,9.0
5524,5525,3,29,1982,21,RM,M,18.0,11.0
5525,5526,3,29,1982,20,RM,F,17.0,10.0
5526,5527,3,29,1982,12,RM,M,16.0,9.0
5529,5530,3,29,1982,21,RM,F,17.0,12.0
5535,5536,3,29,1982,21,RM,M,17.0,10.0
5541,5542,3,29,1982,19,RM,M,18.0,9.0
5542,5543,3,29,1982,19,RM,M,17.0,9.0
5544,5545,3,29,1982,18,RM,M,17.0,11.0
5550,5551,3,29,1982,12,RM,F,17.0,11.0
5560,5561,3,29,1982,24,RM,M,16.0,10.0
5563,5564,3,29,1982,2,RM,M,16.0,10.0
5564,5565,3,29,1982,10,RM,F,16.0,14.0
5565,5566,3,29,1982,2,RM,F,15.0,10.0
5577,5578,3,29,1982,19,RM,M,17.0,8.0
5579,5580,3,29,1982,23,RM,F,17.0,12.0
5581,5582,3,29,1982,10,RM,M,17.0,11.0
5590,5591,3,29,1982,18,RM,F,16.0,12.0
5592,5593,3,29,1982,23,RM,M,17.0,11.0
5594,5595,3,30,1982,16,RM,M,16.0,10.0
5602,5603,3,30,1982,7,RM,M,16.0,11.0
5640,5641,3,30,1982,3,RM,F,17.0,14.0
5643,5644,3,30,1982,3,RM,M,17.0,10.0
5644,5645,3,30,1982,17,RM,M,17.0,10.0
5645,5646,3,30,1982,16,RM,M,16.0,9.0
5652,5653,3,30,1982,1,RM,M,18.0,12.0
5655,5656,3,30,1982,16,RM,F,16.0,12.0
5659,5660,3,30,1982,15,RM,M,16.0,9.0
5664,5665,3,30,1982,16,RM,F,16.0,11.0
5665,5666,3,30,1982,17,RM,M,16.0,10.0
5675,5676,3,30,1982,3,RM,M,15.0,6.0
5684,5685,4,28,1982,23,RM,M,16.0,9.0
5692,5693,4,28,1982,19,RM,M,16.0,9.0
5712,5713,4,28,1982,23,RM,F,17.0,10.0
5722,5723,4,28,1982,12,RM,M,17.0,11.0
5733,5734,4,28,1982,18,RM,M,17.0,11.0
5743,5744,4,28,1982,10,RM,F,17.0,10.0
5749,5750,4,28,1982,23,RM,F,16.0,9.0
5757,5758,4,28,1982,19,RM,M,16.0,5.0
5769,5770,4,29,1982,16,RM,,17.0,9.0
5781,5782,4,29,1982,16,RM,,15.0,8.0
5786,5787,4,29,1982,14,RM,M,16.0,9.0
5800,5801,4,29,1982,7,RM,,8.0,16.0
5806,5807,4,29,1982,15,RM,F,17.0,15.0
5807,5808,4,29,1982,16,RM,,16.0,10.0
5840,5841,5,21,1982,20,RM,F,15.0,11.0
5849,5850,5,21,1982,20,RM,M,17.0,10.0
5873,5874,5,21,1982,24,RM,,,
5880,5881,5,21,1982,24,RM,M,13.0,10.0
5885,5886,5,21,1982,23,RM,,16.0,10.0
5889,5890,5,21,1982,18,RM,M,16.0,10.0
5907,5908,5,21,1982,23,RM,M,15.0,9.0
5922,5923,5,22,1982,16,RM,,,
5924,5925,5,22,1982,16,RM,M,16.0,10.0
5928,5929,5,22,1982,16,RM,,,
5964,5965,5,22,1982,14,RM,F,14.0,5.0
5983,5984,6,28,1982,7,RM,M,,12.0
5984,5985,6,28,1982,3,RM,M,18.0,13.0
5992,5993,6,28,1982,7,RM,F,,12.0
6011,6012,6,28,1982,3,RM,F,17.0,10.0
6051,6052,6,28,1982,10,RM,M,,11.0
6062,6063,6,29,1982,19,RM,M,,9.0
6074,6075,6,29,1982,24,RM,M,,10.0
6080,6081,6,29,1982,16,RM,M,,11.0
6090,6091,6,29,1982,23,RM,F,,8.0
6101,6102,6,29,1982,19,RM,M,,9.0
6217,6218,7,26,1982,15,RM,M,,9.0
6253,6254,7,26,1982,17,RM,M,,12.0
6296,6297,7,27,1982,21,RM,F,,11.0
6298,6299,7,27,1982,16,RM,,,
6332,6333,8,15,1982,16,RM,,,
6371,6372,8,15,1982,11,RM,M,16.0,11.0
6391,6392,8,15,1982,23,RM,M,,10.0
6418,6419,8,15,1982,23,RM,F,,16.0
6445,6446,8,16,1982,3,RM,M,18.0,14.0
6479,6480,8,16,1982,3,RM,F,16.0,14.0
6501,6502,8,16,1982,10,RM,F,,13.0
6510,6511,8,16,1982,10,RM,M,,11.0
6703,6704,10,23,1982,19,RM,F,16.0,12.0
6838,6839,10,24,1982,16,RM,M,16.0,8.0
6865,6866,10,24,1982,16,RM,M,17.0,10.0
6881,6882,10,24,1982,7,RM,,17.0,10.0
6957,6958,11,21,1982,19,RM,M,16.0,9.0
6968,6969,11,21,1982,21,RM,F,15.0,10.0
6974,6975,11,21,1982,14,RM,M,16.0,10.0
6997,6998,11,21,1982,15,RM,M,17.0,11.0
7009,7010,11,21,1982,24,RM,M,17.0,11.0
7015,7016,11,21,1982,19,RM,F,17.0,12.0
7017,7018,11,21,1982,18,RM,F,18.0,11.0
7020,7021,11,21,1982,21,RM,M,16.0,10.0
7030,7031,11,21,1982,21,RM,F,15.0,10.0
7077,7078,11,22,1982,3,RM,F,17.0,11.0
7082,7083,11,22,1982,12,RM,M,17.0,8.0
7091,7092,11,22,1982,3,RM,F,16.0,9.0
7156,7157,1,12,1983,19,RM,F,16.0,8.0
7159,7160,1,12,1983,17,RM,F,17.0,9.0
7165,7166,1,12,1983,24,RM,F,17.0,9.0
7169,7170,1,12,1983,12,RM,M,16.0,10.0
7180,7181,1,12,1983,12,RM,F,16.0,8.0
7192,7193,1,12,1983,20,RM,F,16.0,8.0
7195,7196,1,12,1983,11,RM,M,17.0,8.0
7198,7199,1,12,1983,14,RM,F,17.0,8.0
7202,7203,1,12,1983,19,RM,F,16.0,7.0
7203,7204,1,12,1983,19,RM,M,17.0,8.0
7212,7213,1,12,1983,19,RM,F,15.0,12.0
7213,7214,1,12,1983,24,RM,F,17.0,8.0
7220,7221,1,12,1983,18,RM,M,17.0,9.0
7221,7222,1,12,1983,17,RM,M,17.0,9.0
7226,7227,1,12,1983,18,RM,F,16.0,8.0
7228,7229,1,12,1983,14,RM,M,18.0,11.0
7231,7232,1,12,1983,21,RM,M,15.0,8.0
7238,7239,1,13,1983,3,RM,M,17.0,12.0
7246,7247,1,13,1983,3,RM,M,15.0,9.0
7317,7318,2,26,1983,12,RM,M,17.0,8.0
7323,7324,2,26,1983,12,RM,F,17.0,8.0
7334,7335,2,26,1983,24,RM,M,17.0,10.0
7335,7336,2,26,1983,18,RM,F,16.0,9.0
7343,7344,2,26,1983,11,RM,M,17.0,11.0
7358,7359,2,26,1983,24,RM,F,16.0,7.0
7363,7364,2,26,1983,17,RM,F,16.0,10.0
7368,7369,2,27,1983,22,RM,M,18.0,9.0
7371,7372,2,27,1983,23,RM,M,16.0,8.0
7383,7384,2,27,1983,23,RM,F,17.0,9.0
7386,7387,2,27,1983,16,RM,F,16.0,12.0
7388,7389,2,27,1983,21,RM,F,15.0,8.0
7389,7390,2,27,1983,7,RM,M,17.0,14.0
7397,7398,2,27,1983,10,RM,M,17.0,11.0
7422,7423,2,27,1983,16,RM,M,15.0,7.0
7427,7428,2,27,1983,15,RM,M,17.0,8.0
7447,7448,2,27,1983,16,RM,M,16.0,10.0
7451,7452,2,27,1983,6,RM,M,16.0,10.0
7454,7455,2,27,1983,23,RM,,,
7455,7456,2,27,1983,19,RM,M,15.0,8.0
7456,7457,2,27,1983,10,RM,M,17.0,9.0
