,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
778,779,4,9,1978,11,SA,,,
812,813,4,10,1978,1,SA,,,
4354,4355,5,3,1981,10,SA,,,
4360,4361,5,3,1981,10,SA,,,
4363,4364,5,3,1981,11,SA,,,
4366,4367,5,3,1981,11,SA,,,
4369,4370,5,3,1981,17,SA,,,
4382,4383,5,3,1981,12,SA,,,
4405,4406,5,3,1981,10,SA,,,
4476,4477,5,4,1981,15,SA,,,
4508,4509,6,4,1981,23,SA,,,
4595,4596,6,5,1981,19,SA,,,
4784,4785,8,30,1981,17,SA,,,
5528,5529,3,29,1982,23,SA,,,
5549,5550,3,29,1982,23,SA,,,
5567,5568,3,29,1982,18,SA,,,
5654,5655,3,30,1982,15,SA,,,
5688,5689,4,28,1982,23,SA,,,
5731,5732,4,28,1982,23,SA,,,
5753,5754,4,28,1982,23,SA,,,
5778,5779,4,29,1982,16,SA,,,
5795,5796,4,29,1982,14,SA,,,
6220,6221,7,26,1982,12,SA,,,
6293,6294,7,27,1982,19,SA,,,
6322,6323,7,27,1982,19,SA,,,
6428,6429,8,16,1982,10,SA,,,
6436,6437,8,16,1982,10,SA,,,
6465,6466,8,16,1982,2,SA,,,
6491,6492,8,16,1982,10,SA,,,
6940,6941,10,24,1982,16,SA,,,
7828,7829,5,14,1983,12,SA,,,
7837,7838,5,14,1983,16,SA,,,
8031,8032,6,18,1983,9,SA,,,
8280,8281,9,10,1983,17,SA,,,
8297,8298,9,10,1983,17,SA,,,
8299,8300,9,10,1983,22,SA,,,
8311,8312,9,10,1983,24,SA,,,
8313,8314,9,10,1983,12,SA,,,
8359,8360,9,11,1983,11,SA,,,
8382,8383,9,11,1983,8,SA,,,
8917,8918,3,12,1984,12,SA,,,
8995,8996,4,9,1984,12,SA,,,
9010,9011,4,9,1984,24,SA,,,
9142,9143,5,13,1984,3,SA,,,
9156,9157,5,13,1984,2,SA,,,
9170,9171,5,13,1984,10,SA,,,
9177,9178,5,13,1984,10,SA,,,
9180,9181,5,13,1984,10,SA,,,
9197,9198,5,27,1984,19,SA,,,
9210,9211,5,27,1984,19,SA,,,
9228,9229,5,27,1984,19,SA,,,
9252,9253,5,28,1984,1,SA,,,
9258,9259,5,28,1984,3,SA,,,
9265,9266,5,28,1984,3,SA,,,
9267,9268,5,28,1984,11,SA,,,
9293,9294,7,3,1984,17,SA,,,
9303,9304,7,3,1984,19,SA,,,
9353,9354,7,4,1984,2,SA,,,
9463,9464,8,25,1984,17,SA,,,
9487,9488,8,25,1984,23,SA,,,
10460,10461,6,15,1985,21,SA,,,
10587,10588,7,24,1985,10,SA,,,
10763,10764,9,21,1985,12,SA,,,
11530,11531,5,11,1986,13,SA,,,
12760,12761,5,28,1987,14,SA,,,
14621,14622,6,12,1988,14,SA,,,
15900,15901,4,1,1989,5,SA,,,
15934,15935,4,2,1989,19,SA,,,
16296,16297,7,4,1989,14,SA,,,
18579,18580,4,19,1991,12,SA,,,
18850,18851,7,12,1991,22,SA,,,
24218,24219,7,20,1996,23,SA,,,
26438,26439,7,9,1997,15,SA,,,
27621,27622,3,2,1998,3,SA,,,
27628,27629,3,2,1998,3,SA,,,
