,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
16658,16659,11,4,1989,19,SF,M,27.0,50.0
16668,16669,11,5,1989,11,SF,F,27.0,46.0
16743,16744,12,4,1989,21,SF,M,38.0,49.0
16744,16745,12,4,1989,12,SF,F,27.0,82.0
16818,16819,12,5,1989,11,SF,F,26.0,47.0
16884,16885,1,6,1990,12,SF,M,25.0,35.0
16886,16887,1,6,1990,12,SF,M,28.0,44.0
16888,16889,1,6,1990,21,SF,M,29.0,55.0
16894,16895,1,6,1990,12,SF,F,27.0,75.0
16896,16897,1,6,1990,21,SF,F,29.0,46.0
16989,16990,1,29,1990,12,SF,M,28.0,48.0
16997,16998,1,29,1990,21,SF,F,26.0,50.0
17016,17017,1,29,1990,21,SF,F,27.0,46.0
17126,17127,2,24,1990,12,SF,F,26.0,81.0
17130,17131,2,24,1990,12,SF,M,26.0,48.0
17152,17153,2,24,1990,12,SF,M,25.0,36.0
17256,17257,3,29,1990,12,SF,M,28.0,52.0
17259,17260,3,29,1990,12,SF,M,30.0,58.0
17435,17436,4,26,1990,11,SF,M,21.0,47.0
17436,17437,4,26,1990,11,SF,M,21.0,54.0
17494,17495,5,23,1990,19,SF,M,27.0,68.0
17513,17514,5,24,1990,21,SF,F,26.0,51.0
17585,17586,6,21,1990,21,SF,F,24.0,53.0
18370,18371,2,16,1991,12,SF,,,
18474,18475,3,13,1991,19,SF,M,28.0,64.0
18833,18834,7,12,1991,19,SF,M,26.0,100.0
18897,18898,7,13,1991,15,SF,F,36.0,52.0
18926,18927,8,7,1991,23,SF,F,30.0,199.0
18941,18942,8,7,1991,19,SF,F,29.0,84.0
19251,19252,11,13,1991,19,SF,M,27.0,60.0
19545,19546,1,8,1992,18,SF,M,22.0,35.0
20078,20079,5,31,1992,3,SF,,25.0,45.0
20563,20564,12,22,1992,3,SF,F,,49.0
20687,20688,2,26,1993,3,SF,F,26.0,61.0
20901,20902,6,18,1993,18,SF,M,22.0,24.0
20990,20991,7,14,1993,18,SF,M,25.0,47.0
35032,35033,11,9,2002,12,SF,M,27.0,92.0
35333,35334,12,8,2002,11,SF,F,27.0,82.0
35416,35417,12,29,2002,19,SF,M,25.0,45.0
35474,35475,12,29,2002,22,SF,M,25.0,50.0
35514,35515,12,31,2002,11,SF,F,27.0,
35519,35520,12,31,2002,9,SF,,24.0,36.0
35538,35539,12,31,2002,15,SF,M,26.0,68.0
