,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
23,24,7,17,1977,13,SH,M,21.0,
1434,1435,11,4,1978,17,SH,M,29.0,89.0
5846,5847,5,21,1982,12,SH,M,28.0,106.0
6079,6080,6,29,1982,12,SH,F,,52.0
7505,7506,3,14,1983,21,SH,,,
7680,7681,4,16,1983,21,SH,,,
11895,11896,10,4,1986,21,SH,M,28.0,55.0
13155,13156,7,26,1987,11,SH,M,,77.0
13254,13255,8,26,1987,3,SH,F,30.0,78.0
13490,13491,10,24,1987,17,SH,F,31.0,104.0
13601,13602,10,25,1987,11,SH,F,30.0,58.0
13659,13660,11,21,1987,24,SH,M,31.0,52.0
13849,13850,1,23,1988,24,SH,F,27.0,60.0
13938,13939,1,24,1988,11,SH,F,27.0,51.0
14093,14094,2,21,1988,19,SH,F,,39.0
14096,14097,2,22,1988,3,SH,F,30.0,57.0
14127,14128,2,22,1988,11,SH,F,,51.0
14206,14207,3,20,1988,21,SH,F,27.0,60.0
14262,14263,3,21,1988,3,SH,F,32.0,70.0
14372,14373,4,18,1988,15,SH,M,27.0,72.0
14405,14406,4,19,1988,3,SH,F,30.0,103.0
14420,14421,4,19,1988,11,SH,M,28.0,68.0
14455,14456,5,14,1988,21,SH,F,25.0,75.0
14475,14476,5,14,1988,17,SH,M,26.0,96.0
14487,14488,5,15,1988,3,SH,F,27.0,108.0
14583,14584,6,11,1988,21,SH,F,27.0,98.0
14618,14619,6,12,1988,11,SH,M,30.0,99.0
14671,14672,7,14,1988,21,SH,F,28.0,80.0
14690,14691,7,14,1988,17,SH,M,27.0,62.0
14788,14789,8,9,1988,19,SH,F,27.0,65.0
14801,14802,8,10,1988,10,SH,M,30.0,110.0
14848,14849,8,10,1988,10,SH,F,25.0,92.0
14879,14880,9,11,1988,17,SH,M,28.0,79.0
14947,14948,10,8,1988,21,SH,F,26.0,81.0
14951,14952,10,8,1988,21,SH,M,27.0,62.0
15035,15036,11,5,1988,21,SH,M,26.0,43.0
15039,15040,11,5,1988,21,SH,F,26.0,71.0
15052,15053,11,5,1988,19,SH,F,29.0,65.0
15076,15077,11,5,1988,17,SH,F,29.0,60.0
15084,15085,11,5,1988,17,SH,F,27.0,70.0
15087,15088,11,6,1988,3,SH,F,27.0,67.0
15233,15234,12,14,1988,3,SH,F,31.0,85.0
15257,15258,12,14,1988,11,SH,M,29.0,58.0
15317,15318,1,10,1989,21,SH,F,29.0,61.0
15366,15367,1,10,1989,17,SH,F,30.0,66.0
15367,15368,1,10,1989,17,SH,F,29.0,64.0
15383,15384,1,11,1989,3,SH,F,32.0,90.0
15386,15387,1,11,1989,11,SH,M,39.0,73.0
15396,15397,1,11,1989,5,SH,M,31.0,66.0
15499,15500,2,4,1989,21,SH,F,30.0,64.0
15565,15566,2,4,1989,17,SH,F,29.0,61.0
