,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
76,77,8,19,1977,4,SS,,,
761,762,4,8,1978,13,SS,,,
856,857,5,6,1978,13,SS,,,
942,943,6,8,1978,8,SS,,,
1001,1002,6,9,1978,14,SS,M,,130.0
1280,1281,9,4,1978,3,SS,,,
1361,1362,10,8,1978,18,SS,,,
1387,1388,10,8,1978,4,SS,,,
1469,1470,11,5,1978,13,SS,,,
2036,2037,9,22,1979,9,SS,,,
2076,2077,10,24,1979,12,SS,,,
2876,2877,4,18,1980,2,SS,,,
2915,2916,5,17,1980,22,SS,,,
3060,3061,6,22,1980,18,SS,,,
3143,3144,7,21,1980,10,SS,,,
3159,3160,7,22,1980,1,SS,,,
3212,3213,8,13,1980,17,SS,,,
3261,3262,9,7,1980,18,SS,,,
3281,3282,9,7,1980,17,SS,,,
3282,3283,9,7,1980,13,SS,,,
4052,4053,4,5,1981,9,SS,,,
4057,4058,4,5,1981,17,SS,,,
4138,4139,4,5,1981,14,SS,,,
4157,4158,4,5,1981,16,SS,,,
4234,4235,4,6,1981,8,SS,,,
4399,4400,5,3,1981,10,SS,,,
4650,4651,7,8,1981,15,SS,,,
4874,4875,10,24,1981,20,SS,F,,57.0
5540,5541,3,29,1982,21,SS,,,
5694,5695,4,28,1982,11,SS,,,
5862,5863,5,21,1982,20,SS,,,
5997,5998,6,28,1982,15,SS,,,
6017,6018,6,28,1982,15,SS,,,
6094,6095,6,29,1982,21,SS,,,
6258,6259,7,26,1982,14,SS,,,
6352,6353,8,15,1982,20,SS,,,
6467,6468,8,16,1982,15,SS,,,
6563,6564,9,18,1982,11,SS,,,
6570,6571,9,18,1982,6,SS,,,
6750,6751,10,23,1982,10,SS,,,
7436,7437,2,27,1983,21,SS,,,
7450,7451,2,27,1983,5,SS,,,
7998,7999,6,18,1983,3,SS,,,
8018,8019,6,18,1983,5,SS,,,
8107,8108,7,16,1983,17,SS,,,
8139,8140,7,17,1983,6,SS,,,
8224,8225,8,16,1983,4,SS,,,
8306,8307,9,10,1983,14,SS,,,
8318,8319,9,10,1983,20,SS,,,
8344,8345,9,11,1983,2,SS,,,
8385,8386,9,11,1983,5,SS,,,
8416,8417,9,11,1983,10,SS,,,
8815,8816,2,4,1984,14,SS,,,
